POS Tag: DTCP
Word: Ang_mga | Lemma: Ang_mga | a56_250_tags.txt | SN:23 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_200_tags.txt | SN:6 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_181to186_tags.txt | SN:15 | TN:0
Word: Ang_mga | Lemma: Ang_mga | cua_bernice_s11_tags.txt | SN:26 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_198_tags.txt | SN:16 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_260_tags.txt | SN:18 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_263_tags.txt | SN:9 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_260_tags.txt | SN:11 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_264_tags.txt | SN:17 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_213_tags.txt | SN:45 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_214_tags.txt | SN:38 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_260_tags.txt | SN:16 | TN:0
Word: Ang_mga | Lemma: Ang_mga | lopez_clement_s11_tags.txt | SN:32 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_259_tags.txt | SN:3 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_260_tags.txt | SN:4 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_264_tags.txt | SN:30 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_264_tags.txt | SN:12 | TN:0
Word: Ang_mga | Lemma: Ang_mga | cua_bernice_s11_tags.txt | SN:102 | TN:0
Word: Ang_mga | Lemma: Ang_mga | lopez_clement_s11_tags.txt | SN:72 | TN:0
Word: Ang_mga | Lemma: Ang_mga | lopez_clement_s11_tags.txt | SN:77 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_223_tags.txt | SN:5 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_238to240_tags.txt | SN:52 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_247_tags.txt | SN:12 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_260_tags.txt | SN:17 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_264_tags.txt | SN:27 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_263_tags.txt | SN:3 | TN:0
Word: Ang_mga | Lemma: Ang_mga | cua_bernice_s11_tags.txt | SN:73 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_264_tags.txt | SN:24 | TN:0
Word: Ang_mga | Lemma: Ang_mga | a56_261_tags.txt | SN:13 | TN:0
Word: Mga | Lemma: Mga | a56_238to240_tags.txt | SN:65 | TN:0
Word: Mga | Lemma: Mga | a56_261_tags.txt | SN:5 | TN:0
Word: Mga | Lemma: Mga | a56_261_tags.txt | SN:12 | TN:0
Word: Mga | Lemma: Mga | a56_264_tags.txt | SN:26 | TN:0
Word: Mga | Lemma: Mga | lopez_clement_s11_tags.txt | SN:7 | TN:0
Word: ang | Lemma: ang | a56_238to240_tags.txt | SN:66 | TN:4
Word: ang_mga | Lemma: ang_mga | a56_181to186_tags.txt | SN:22 | TN:7
Word: ang_mga | Lemma: ang_mga | a56_181to186_tags.txt | SN:24 | TN:24
Word: ang_mga | Lemma: ang_mga | a56_253to258_tags.txt | SN:25 | TN:5
Word: ang_mga | Lemma: ang_mga | a56_238to240_tags.txt | SN:54 | TN:2
Word: ang_mga | Lemma: ang_mga | lopez_clement_s11_tags.txt | SN:14 | TN:5
Word: ang_mga | Lemma: ang_mga | a56_181to186_tags.txt | SN:31 | TN:12
Word: ang_mga | Lemma: ang_mga | a56_181to186_tags.txt | SN:87 | TN:7
Word: ang_mga | Lemma: ang_mga | a56_238to240_tags.txt | SN:18 | TN:19
Word: ang_mga | Lemma: ang_mga | a56_259_tags.txt | SN:15 | TN:7
Word: ang_mga | Lemma: ang_mga | cua_bernice_s11_tags.txt | SN:100 | TN:5
Word: ang_mga | Lemma: ang_mga | a56_253to258_tags.txt | SN:95 | TN:19
Word: ang_mga | Lemma: ang_mga | a56_198_tags.txt | SN:4 | TN:2
Word: ang_mga | Lemma: ang_mga | a56_235to237_tags.txt | SN:24 | TN:1
Word: ang_mga | Lemma: ang_mga | a56_253to258_tags.txt | SN:117 | TN:8
Word: ang_mga | Lemma: ang_mga | a56_181to186_tags.txt | SN:78 | TN:3
Word: ang_mga | Lemma: ang_mga | a56_181to186_tags.txt | SN:107 | TN:1
Word: ang_mga | Lemma: ang_mga | a56_253to258_tags.txt | SN:165 | TN:28
Word: ang_mga | Lemma: ang_mga | lopez_clement_s11_tags.txt | SN:15 | TN:31
Word: ang_mga | Lemma: ang_mga | lopez_clement_s11_tags.txt | SN:74 | TN:1
Word: ang_mga | Lemma: ang_mga | a56_264_tags.txt | SN:8 | TN:3
Word: ang_mga | Lemma: ang_mga | a56_259_tags.txt | SN:28 | TN:27
Word: ang_mga | Lemma: ang_mga | a56_238to240_tags.txt | SN:65 | TN:13
Word: ang_mga | Lemma: ang_mga | a56_251_tags.txt | SN:23 | TN:12
Word: ang_mga | Lemma: ang_mga | a56_253to258_tags.txt | SN:86 | TN:1
Word: ang_mga | Lemma: ang_mga | cua_bernice_s11_tags.txt | SN:110 | TN:1
Word: ang_mga | Lemma: ang_mga | a56_253to258_tags.txt | SN:63 | TN:27
Word: ang_mga | Lemma: ang_mga | a56_181to186_tags.txt | SN:125 | TN:9
Word: ang_mga | Lemma: ang_mga | a56_181to186_tags.txt | SN:142 | TN:19
Word: ang_mga | Lemma: ang_mga | a56_193to197_tags.txt | SN:9 | TN:45
Word: ang_mga | Lemma: ang_mga | a56_235to237_tags.txt | SN:26 | TN:18
Word: ang_mga | Lemma: ang_mga | a56_260_tags.txt | SN:5 | TN:2
Word: ang_mga | Lemma: ang_mga | lopez_clement_s11_tags.txt | SN:2 | TN:3
Word: ang_mga | Lemma: ang_mga | a56_227_tags.txt | SN:2 | TN:22
Word: ang_mga | Lemma: ang_mga | a56_253to258_tags.txt | SN:162 | TN:15
Word: ang_mga | Lemma: ang_mga | lopez_clement_s11_tags.txt | SN:63 | TN:50
Word: ang_mga | Lemma: ang_mga | a56_193to197_tags.txt | SN:23 | TN:10
Word: ang_mga | Lemma: ang_mga | a56_193to197_tags.txt | SN:89 | TN:3
Word: ang_mga | Lemma: ang_mga | a56_235to237_tags.txt | SN:27 | TN:1
Word: ang_mga | Lemma: ang_mga | a56_235to237_tags.txt | SN:33 | TN:7
Word: ang_mga | Lemma: ang_mga | lopez_clement_s11_tags.txt | SN:13 | TN:3
Word: ang_mga | Lemma: ang_mga | a56_253to258_tags.txt | SN:4 | TN:5
Word: ang_mga | Lemma: ang_mga | a56_235to237_tags.txt | SN:5 | TN:38
Word: ang_mga | Lemma: ang_mga | cua_bernice_s11_tags.txt | SN:39 | TN:14
Word: ang_mga | Lemma: ang_mga | cua_bernice_s11_tags.txt | SN:1 | TN:7
Word: ang_mga | Lemma: ang_mga | a56_253to258_tags.txt | SN:73 | TN:78
Word: ang_mga | Lemma: ang_mga | a56_264_tags.txt | SN:19 | TN:26
Word: ang_mga | Lemma: ang_mga | cua_bernice_s11_tags.txt | SN:90 | TN:2
Word: ang_mga | Lemma: ang_mga | a56_235to237_tags.txt | SN:71 | TN:7
Word: ang_mga | Lemma: ang_mga | a56_247_tags.txt | SN:13 | TN:18
Word: ang_mga | Lemma: ang_mga | lopez_clement_s11_tags.txt | SN:61 | TN:19
Word: ang_mga | Lemma: ang_mga | lopez_clement_s11_tags.txt | SN:12 | TN:8
