POS Tag: RBW
Word: , | Lemma: , | a56_252_tags.txt | SN:9 | TN:27
Word: Bago | Lemma: Bago | a56_193to197_tags.txt | SN:16 | TN:0
Word: Bago | Lemma: Bago | a56_193to197_tags.txt | SN:21 | TN:0
Word: Bago | Lemma: Bago | a56_226_tags.txt | SN:16 | TN:0
Word: Habang | Lemma: Habang | a56_198_tags.txt | SN:15 | TN:0
Word: Habang | Lemma: Habang | a56_198_tags.txt | SN:12 | TN:0
Word: Habang | Lemma: Habang | cua_bernice_s11_tags.txt | SN:59 | TN:0
Word: Habang | Lemma: Habang | cua_bernice_s11_tags.txt | SN:95 | TN:0
Word: Habang | Lemma: Habang | a56_200_tags.txt | SN:34 | TN:0
Word: Habang | Lemma: Habang | cua_bernice_s11_tags.txt | SN:18 | TN:0
Word: Habang | Lemma: Habang | a56_213_tags.txt | SN:39 | TN:0
Word: Habang | Lemma: Habang | a56_238to240_tags.txt | SN:6 | TN:0
Word: Habang | Lemma: Habang | cua_bernice_s11_tags.txt | SN:44 | TN:0
Word: Habang | Lemma: Habang | a56_238to240_tags.txt | SN:18 | TN:0
Word: Habang | Lemma: Habang | a56_253to258_tags.txt | SN:150 | TN:0
Word: Habang | Lemma: Habang | a56_259_tags.txt | SN:26 | TN:0
Word: Habang | Lemma: Habang | cua_bernice_s11_tags.txt | SN:15 | TN:0
Word: Hanggang | Lemma: Hanggang | a56_228_tags.txt | SN:20 | TN:0
Word: Hanggang | Lemma: Hanggang | a56_249_tags.txt | SN:24 | TN:0
Word: Kadalasan | Lemma: dalas | a56_181to186_tags.txt | SN:20 | TN:0
Word: Kadalasan | Lemma: dalas | a56_198_tags.txt | SN:4 | TN:0
Word: Kadalasan | Lemma: dalas | a56_204_tags.txt | SN:5 | TN:0
Word: Kamakailan | Lemma: kailan | a56_181to186_tags.txt | SN:37 | TN:0
Word: Kamakailan | Lemma: kailan | a56_238to240_tags.txt | SN:43 | TN:0
Word: Karaniwan | Lemma: Karaniwan | a56_181to186_tags.txt | SN:125 | TN:0
Word: Kasunod | Lemma: sunod | a56_248_tags.txt | SN:27 | TN:0
Word: Madalang | Lemma: Dala | a56_238to240_tags.txt | SN:67 | TN:0
Word: Madalas | Lemma: dalas | a56_238to240_tags.txt | SN:28 | TN:0
