POS Tag: RBL
nanggagaling_sa | a56_181to186_tags.txt | SN:43 | TN:17
sa_ibaba | a56_181to186_tags.txt | SN:32 | TN:41
sa_campus | a56_238to240_tags.txt | SN:61 | TN:12
Nasa_gitna | a56_251_tags.txt | SN:4 | TN:0
ibabaw | cua_bernice_s11_tags.txt | SN:34 | TN:2
sa_likod | a56_253to258_tags.txt | SN:51 | TN:22
nasa_lugar | a56_250_tags.txt | SN:18 | TN:5
nasa_ilalim | a56_235to237_tags.txt | SN:34 | TN:18
sa_timog_silangan | a56_213_tags.txt | SN:17 | TN:35
Sa_labas | a56_250_tags.txt | SN:7 | TN:0
Mula | a56_193to197_tags.txt | SN:95 | TN:0
sa_himpapawid | cua_bernice_s11_tags.txt | SN:24 | TN:6
Nasa_tabi | a56_224_tags.txt | SN:25 | TN:0
Sa_ilalim | a56_227_tags.txt | SN:13 | TN:0
Sa_lugar | a56_248_tags.txt | SN:17 | TN:0
sa_Rotunda | a56_193to197_tags.txt | SN:57 | TN:10
Sa_lungsod | a56_204_tags.txt | SN:8 | TN:0
sa_dagat | a56_214_tags.txt | SN:38 | TN:31
papuntang_timog-silangan | a56_213_tags.txt | SN:26 | TN:14
mula_kay | a56_181to186_tags.txt | SN:17 | TN:2
sa_timog | a56_249_tags.txt | SN:16 | TN:22
mula | a56_181to186_tags.txt | SN:100 | TN:12
sa_isla | a56_235to237_tags.txt | SN:1 | TN:12
sa_paloob | a56_181to186_tags.txt | SN:31 | TN:30
sa_harap | a56_250_tags.txt | SN:20 | TN:17
Nasa_bingit | a56_249_tags.txt | SN:12 | TN:0
sa_palibot | a56_204_tags.txt | SN:18 | TN:17
sa_timog-silangan | a56_214_tags.txt | SN:34 | TN:5
sa_ibayo | a56_181to186_tags.txt | SN:27 | TN:16
Nasa_loob | a56_249_tags.txt | SN:26 | TN:0
Sa_tabi | a56_249_tags.txt | SN:7 | TN:0
nasa_ibabaw | a56_264_tags.txt | SN:18 | TN:20
sa_landas | a56_212_tags.txt | SN:3 | TN:40
sa_paligid | a56_238to240_tags.txt | SN:65 | TN:24
sa_hangganan | a56_249_tags.txt | SN:17 | TN:4
sa_tabing_dagat | a56_225_tags.txt | SN:23 | TN:11
Sa_gabi | a56_249_tags.txt | SN:22 | TN:10
Nasa | a56_193to197_tags.txt | SN:58 | TN:46
