POS Tag: PMC
Word:  | Lemma:  | a56_250_tags.txt | SN:9 | TN:43
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:72 | TN:32
Word: ( | Lemma: ( | a56_200_tags.txt | SN:10 | TN:39
Word: ) | Lemma: ) | a56_193to197_tags.txt | SN:80 | TN:6
Word: ) | Lemma: ) | a56_264_tags.txt | SN:31 | TN:13
Word: , | Lemma: , | a56_181to186_tags.txt | SN:3 | TN:8
Word: , | Lemma: , | a56_181to186_tags.txt | SN:2 | TN:23
Word: , | Lemma: , | a56_181to186_tags.txt | SN:1 | TN:4
Word: , | Lemma: , | a56_181to186_tags.txt | SN:5 | TN:12
Word: , | Lemma: , | a56_181to186_tags.txt | SN:91 | TN:12
Word: , | Lemma: , | a56_263_tags.txt | SN:26 | TN:16
Word: , | Lemma: , | a56_238to240_tags.txt | SN:20 | TN:18
Word: , | Lemma: , | a56_181to186_tags.txt | SN:87 | TN:60
Word: , | Lemma: , | lopez_clement_s11_tags.txt | SN:6 | TN:65
Word: , | Lemma: , | a56_264_tags.txt | SN:15 | TN:18
Word: , | Lemma: , | a56_251_tags.txt | SN:14 | TN:17
Word: , | Lemma: , | a56_264_tags.txt | SN:23 | TN:8
Word: , | Lemma: , | a56_252_tags.txt | SN:3 | TN:38
Word: , | Lemma: , | a56_235to237_tags.txt | SN:25 | TN:13
Word: , | Lemma: , | a56_238to240_tags.txt | SN:11 | TN:24
Word: , | Lemma: , | a56_249_tags.txt | SN:25 | TN:9
Word: , | Lemma: , | a56_264_tags.txt | SN:21 | TN:21
Word: , | Lemma: , | a56_263_tags.txt | SN:20 | TN:22
Word: , | Lemma: , | a56_213_tags.txt | SN:2 | TN:25
Word: , | Lemma: , | a56_259_tags.txt | SN:14 | TN:15
Word: , | Lemma: , | a56_250_tags.txt | SN:11 | TN:20
Word: , | Lemma: , | a56_223_tags.txt | SN:9 | TN:7
Word: , | Lemma: , | a56_181to186_tags.txt | SN:94 | TN:34
Word: , | Lemma: , | a56_181to186_tags.txt | SN:138 | TN:12
Word: , | Lemma: , | cua_bernice_s11_tags.txt | SN:24 | TN:11
Word: , | Lemma: , | a56_227_tags.txt | SN:7 | TN:5
Word: , | Lemma: , | a56_181to186_tags.txt | SN:15 | TN:38
Word: , | Lemma: , | a56_235to237_tags.txt | SN:49 | TN:17
Word: , | Lemma: , | a56_248_tags.txt | SN:10 | TN:26
Word: , | Lemma: , | a56_213_tags.txt | SN:39 | TN:8
Word: , | Lemma: , | a56_223_tags.txt | SN:12 | TN:13
Word: , | Lemma: , | a56_247_tags.txt | SN:24 | TN:11
Word: , | Lemma: , | a56_253to258_tags.txt | SN:36 | TN:13
Word: , | Lemma: , | lopez_clement_s11_tags.txt | SN:16 | TN:4
Word: , | Lemma: , | a56_235to237_tags.txt | SN:54 | TN:43
Word: , | Lemma: , | lopez_clement_s11_tags.txt | SN:65 | TN:26
Word: , | Lemma: , | a56_193to197_tags.txt | SN:76 | TN:17
Word: , | Lemma: , | a56_200_tags.txt | SN:34 | TN:24
