POS Tag: PMS
Word: ! | Lemma: ! | a56_225_tags.txt | SN:25 | TN:29
Word: ! | Lemma: ! | a56_228_tags.txt | SN:13 | TN:32
Word: ! | Lemma: ! | a56_238to240_tags.txt | SN:8 | TN:31
Word: " | Lemma: " | a56_238to240_tags.txt | SN:37 | TN:13
Word: " | Lemma: " | a56_238to240_tags.txt | SN:14 | TN:28
Word: " | Lemma: " | a56_238to240_tags.txt | SN:2 | TN:6
Word: " | Lemma: " | a56_238to240_tags.txt | SN:48 | TN:31
Word: " | Lemma: " | a56_253to258_tags.txt | SN:150 | TN:12
Word: " | Lemma: " | lopez_clement_s11_tags.txt | SN:16 | TN:23
Word: " | Lemma: " | cua_bernice_s11_tags.txt | SN:38 | TN:13
Word: " | Lemma: " | a56_238to240_tags.txt | SN:2 | TN:8
Word: " | Lemma: " | a56_238to240_tags.txt | SN:14 | TN:34
Word: " | Lemma: " | a56_238to240_tags.txt | SN:14 | TN:61
Word: " | Lemma: " | a56_238to240_tags.txt | SN:16 | TN:6
Word: " | Lemma: " | a56_238to240_tags.txt | SN:37 | TN:15
Word: " | Lemma: " | a56_253to258_tags.txt | SN:150 | TN:15
Word: " | Lemma: " | a56_238to240_tags.txt | SN:65 | TN:9
Word: " | Lemma: " | a56_238to240_tags.txt | SN:58 | TN:8
Word: " | Lemma: " | a56_238to240_tags.txt | SN:14 | TN:32
Word: " | Lemma: " | a56_238to240_tags.txt | SN:14 | TN:40
Word: " | Lemma: " | a56_238to240_tags.txt | SN:16 | TN:8
Word: " | Lemma: " | a56_238to240_tags.txt | SN:43 | TN:64
Word: " | Lemma: " | a56_238to240_tags.txt | SN:57 | TN:7
Word: " | Lemma: " | lopez_clement_s11_tags.txt | SN:16 | TN:25
Word: " | Lemma: " | a56_238to240_tags.txt | SN:56 | TN:11
Word: " | Lemma: " | a56_238to240_tags.txt | SN:66 | TN:11
Word: " | Lemma: " | a56_238to240_tags.txt | SN:43 | TN:20
Word: " | Lemma: " | a56_253to258_tags.txt | SN:47 | TN:34
Word: " | Lemma: " | a56_238to240_tags.txt | SN:40 | TN:2
Word: " | Lemma: " | a56_238to240_tags.txt | SN:56 | TN:9
Word: " | Lemma: " | a56_238to240_tags.txt | SN:43 | TN:53
Word: " | Lemma: " | cua_bernice_s11_tags.txt | SN:38 | TN:15
Word: " | Lemma: " | a56_238to240_tags.txt | SN:2 | TN:10
Word: " | Lemma: " | a56_238to240_tags.txt | SN:2 | TN:12
Word: " | Lemma: " | lopez_clement_s11_tags.txt | SN:30 | TN:5
Word: " | Lemma: " | a56_238to240_tags.txt | SN:3 | TN:63
Word: " | Lemma: " | a56_238to240_tags.txt | SN:3 | TN:69
Word: " | Lemma: " | a56_238to240_tags.txt | SN:58 | TN:4
Word: " | Lemma: " | a56_238to240_tags.txt | SN:66 | TN:14
Word: " | Lemma: " | lopez_clement_s11_tags.txt | SN:30 | TN:7
Word: " | Lemma: " | a56_238to240_tags.txt | SN:14 | TN:25
Word: " | Lemma: " | a56_238to240_tags.txt | SN:40 | TN:0
Word: " | Lemma: " | a56_238to240_tags.txt | SN:42 | TN:11
Word: " | Lemma: " | a56_253to258_tags.txt | SN:47 | TN:32
Word: " | Lemma: " | a56_238to240_tags.txt | SN:65 | TN:7
Word: " | Lemma: " | a56_238to240_tags.txt | SN:57 | TN:5
Word: " | Lemma: " | a56_238to240_tags.txt | SN:14 | TN:29
Word: " | Lemma: " | a56_238to240_tags.txt | SN:42 | TN:9
Word: " | Lemma: " | a56_238to240_tags.txt | SN:48 | TN:35
Word: $ | Lemma: $ | a56_238to240_tags.txt | SN:44 | TN:15
Word: $ | Lemma: $ | a56_238to240_tags.txt | SN:51 | TN:3
Word: $ | Lemma: $ | a56_238to240_tags.txt | SN:51 | TN:29
Word: $ | Lemma: $ | lopez_clement_s11_tags.txt | SN:25 | TN:16
Word: $ | Lemma: $ | lopez_clement_s11_tags.txt | SN:26 | TN:8
Word: % | Lemma: % | a56_214_tags.txt | SN:45 | TN:23
Word: % | Lemma: % | a56_200_tags.txt | SN:12 | TN:17
Word: % | Lemma: % | cua_bernice_s11_tags.txt | SN:84 | TN:38
Word: % | Lemma: % | lopez_clement_s11_tags.txt | SN:23 | TN:9
Word: % | Lemma: % | a56_200_tags.txt | SN:12 | TN:20
Word: % | Lemma: % | a56_235to237_tags.txt | SN:1 | TN:9
Word: % | Lemma: % | a56_235to237_tags.txt | SN:1 | TN:20
Word: % | Lemma: % | a56_235to237_tags.txt | SN:1 | TN:33
Word: % | Lemma: % | a56_235to237_tags.txt | SN:4 | TN:14
Word: % | Lemma: % | a56_235to237_tags.txt | SN:15 | TN:10
Word: % | Lemma: % | a56_253to258_tags.txt | SN:20 | TN:3
Word: % | Lemma: % | lopez_clement_s11_tags.txt | SN:25 | TN:24
Word: & | Lemma: & | a56_251_tags.txt | SN:24 | TN:37
Word: & | Lemma: & | a56_251_tags.txt | SN:24 | TN:43
Word: & | Lemma: & | lopez_clement_s11_tags.txt | SN:51 | TN:8
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:31 | TN:39
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:16 | TN:22
Word: ( | Lemma: ( | a56_252_tags.txt | SN:3 | TN:14
Word: ( | Lemma: ( | a56_253to258_tags.txt | SN:128 | TN:4
Word: ( | Lemma: ( | lopez_clement_s11_tags.txt | SN:50 | TN:14
Word: ( | Lemma: ( | a56_204_tags.txt | SN:2 | TN:4
Word: ( | Lemma: ( | a56_213_tags.txt | SN:29 | TN:5
Word: ( | Lemma: ( | a56_253to258_tags.txt | SN:61 | TN:38
Word: ( | Lemma: ( | a56_253to258_tags.txt | SN:100 | TN:25
Word: ( | Lemma: ( | a56_249_tags.txt | SN:7 | TN:7
Word: ( | Lemma: ( | a56_264_tags.txt | SN:15 | TN:20
Word: ( | Lemma: ( | a56_225_tags.txt | SN:17 | TN:0
Word: ( | Lemma: ( | a56_264_tags.txt | SN:16 | TN:9
Word: ( | Lemma: ( | a56_238to240_tags.txt | SN:60 | TN:11
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:50 | TN:20
Word: ( | Lemma: ( | a56_226_tags.txt | SN:26 | TN:14
Word: ( | Lemma: ( | a56_253to258_tags.txt | SN:84 | TN:40
Word: ( | Lemma: ( | cua_bernice_s11_tags.txt | SN:7 | TN:9
Word: ( | Lemma: ( | a56_250_tags.txt | SN:1 | TN:41
Word: ( | Lemma: ( | a56_264_tags.txt | SN:21 | TN:11
Word: ( | Lemma: ( | cua_bernice_s11_tags.txt | SN:88 | TN:8
Word: ( | Lemma: ( | a56_193to197_tags.txt | SN:85 | TN:2
Word: ( | Lemma: ( | a56_235to237_tags.txt | SN:15 | TN:8
Word: ( | Lemma: ( | a56_253to258_tags.txt | SN:73 | TN:37
Word: ( | Lemma: ( | a56_250_tags.txt | SN:4 | TN:9
Word: ( | Lemma: ( | a56_247_tags.txt | SN:32 | TN:22
Word: ( | Lemma: ( | a56_193to197_tags.txt | SN:9 | TN:14
Word: ( | Lemma: ( | a56_193to197_tags.txt | SN:80 | TN:2
Word: ( | Lemma: ( | a56_250_tags.txt | SN:24 | TN:18
Word: ( | Lemma: ( | a56_261_tags.txt | SN:15 | TN:16
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:82 | TN:7
Word: ( | Lemma: ( | a56_235to237_tags.txt | SN:62 | TN:24
Word: ( | Lemma: ( | a56_248_tags.txt | SN:17 | TN:19
Word: ( | Lemma: ( | a56_260_tags.txt | SN:3 | TN:4
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:116 | TN:18
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:57 | TN:16
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:37 | TN:17
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:41 | TN:13
Word: ( | Lemma: ( | a56_223_tags.txt | SN:11 | TN:47
Word: ( | Lemma: ( | a56_253to258_tags.txt | SN:25 | TN:29
Word: ( | Lemma: ( | a56_224_tags.txt | SN:20 | TN:11
Word: ( | Lemma: ( | a56_235to237_tags.txt | SN:14 | TN:25
Word: ( | Lemma: ( | a56_250_tags.txt | SN:24 | TN:8
Word: ( | Lemma: ( | a56_264_tags.txt | SN:23 | TN:20
Word: ( | Lemma: ( | cua_bernice_s11_tags.txt | SN:28 | TN:13
Word: ( | Lemma: ( | a56_247_tags.txt | SN:15 | TN:17
Word: ( | Lemma: ( | a56_263_tags.txt | SN:18 | TN:14
Word: ( | Lemma: ( | a56_253to258_tags.txt | SN:73 | TN:31
Word: ( | Lemma: ( | cua_bernice_s11_tags.txt | SN:30 | TN:7
Word: ( | Lemma: ( | cua_bernice_s11_tags.txt | SN:1 | TN:10
Word: ( | Lemma: ( | cua_bernice_s11_tags.txt | SN:6 | TN:13
Word: ( | Lemma: ( | a56_193to197_tags.txt | SN:51 | TN:15
Word: ( | Lemma: ( | lopez_clement_s11_tags.txt | SN:5 | TN:19
Word: ( | Lemma: ( | lopez_clement_s11_tags.txt | SN:6 | TN:36
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:113 | TN:18
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:120 | TN:31
Word: ( | Lemma: ( | a56_247_tags.txt | SN:32 | TN:45
Word: ( | Lemma: ( | a56_227_tags.txt | SN:16 | TN:9
Word: ( | Lemma: ( | a56_252_tags.txt | SN:16 | TN:9
Word: ( | Lemma: ( | a56_264_tags.txt | SN:1 | TN:8
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:45 | TN:26
Word: ( | Lemma: ( | a56_226_tags.txt | SN:7 | TN:13
Word: ( | Lemma: ( | a56_235to237_tags.txt | SN:12 | TN:3
Word: ( | Lemma: ( | a56_238to240_tags.txt | SN:26 | TN:37
Word: ( | Lemma: ( | a56_253to258_tags.txt | SN:133 | TN:14
Word: ( | Lemma: ( | a56_253to258_tags.txt | SN:165 | TN:12
Word: ( | Lemma: ( | a56_223_tags.txt | SN:1 | TN:47
Word: ( | Lemma: ( | a56_226_tags.txt | SN:13 | TN:21
Word: ( | Lemma: ( | a56_253to258_tags.txt | SN:101 | TN:11
Word: ( | Lemma: ( | lopez_clement_s11_tags.txt | SN:6 | TN:57
Word: ( | Lemma: ( | a56_253to258_tags.txt | SN:73 | TN:12
