POS Tag: JJN_CCP
Word: Dalawang | Lemma: Dalawa | a56_235to237_tags.txt | SN:62 | TN:0
Word: Dalawang | Lemma: Dalawa | a56_247_tags.txt | SN:19 | TN:0
Word: Dalawang | Lemma: Dalawa | a56_252_tags.txt | SN:20 | TN:0
Word: Dalawang | Lemma: Dalawa | a56_253to258_tags.txt | SN:139 | TN:0
Word: Isang | Lemma: Isa | a56_261_tags.txt | SN:25 | TN:0
Word: Isang | Lemma: Isa | a56_249_tags.txt | SN:6 | TN:0
Word: Isang | Lemma: Isa | a56_226_tags.txt | SN:1 | TN:0
Word: Isang | Lemma: Isa | a56_253to258_tags.txt | SN:95 | TN:0
Word: Isang | Lemma: Isa | a56_253to258_tags.txt | SN:120 | TN:0
Word: Isang | Lemma: Isa | a56_253to258_tags.txt | SN:164 | TN:0
Word: Isang | Lemma: Isa | a56_263_tags.txt | SN:23 | TN:0
Word: Isang | Lemma: Isa | cua_bernice_s11_tags.txt | SN:1 | TN:0
Word: Isang | Lemma: Isa | cua_bernice_s11_tags.txt | SN:24 | TN:0
Word: Isang | Lemma: Isa | cua_bernice_s11_tags.txt | SN:23 | TN:0
Word: Labing-Isang | Lemma: Labing-Isa | a56_181to186_tags.txt | SN:14 | TN:42
Word: Labing-Isang | Lemma: Labing-Isang | a56_181to186_tags.txt | SN:15 | TN:14
Word: Maraming | Lemma: Dami | a56_247_tags.txt | SN:14 | TN:0
Word: Pang-limang | Lemma: lima | a56_213_tags.txt | SN:29 | TN:18
Word: Pangalawang | Lemma: dalawa | a56_204_tags.txt | SN:11 | TN:0
Word: Pangalawang | Lemma: Dalawa | a56_251_tags.txt | SN:18 | TN:0
Word: Tatlong | Lemma: Tatlo | a56_227_tags.txt | SN:20 | TN:0
Word: Unang | Lemma: Una | a56_200_tags.txt | SN:32 | TN:0
Word: daan-daang | Lemma: daan-daan | a56_235to237_tags.txt | SN:18 | TN:6
Word: daang | Lemma: daan | a56_193to197_tags.txt | SN:19 | TN:10
Word: daang | Lemma: daan | a56_193to197_tags.txt | SN:56 | TN:21
Word: dalawampung | Lemma: dalawampu | a56_238to240_tags.txt | SN:9 | TN:12
Word: dalawampung | Lemma: dalawampu | cua_bernice_s11_tags.txt | SN:12 | TN:6
Word: dalawampung | Lemma: dalawampu | cua_bernice_s11_tags.txt | SN:84 | TN:14
Word: dalawampung | Lemma: dalawampu | lopez_clement_s11_tags.txt | SN:33 | TN:8
Word: dalawang | Lemma: dalawa | a56_193to197_tags.txt | SN:49 | TN:30
Word: dalawang | Lemma: dalawa | a56_181to186_tags.txt | SN:107 | TN:7
Word: dalawang | Lemma: dalawa | a56_181to186_tags.txt | SN:46 | TN:4
Word: dalawang | Lemma: dalawa | a56_213_tags.txt | SN:21 | TN:21
Word: dalawang | Lemma: dalawa | a56_212_tags.txt | SN:9 | TN:20
Word: dalawang | Lemma: dalawa | a56_253to258_tags.txt | SN:61 | TN:42
Word: dalawang | Lemma: dalawa | a56_181to186_tags.txt | SN:129 | TN:6
Word: dalawang | Lemma: dalawa | a56_252_tags.txt | SN:17 | TN:35
Word: dalawang | Lemma: dalawa | cua_bernice_s11_tags.txt | SN:3 | TN:14
Word: dalawang | Lemma: dalawa | a56_253to258_tags.txt | SN:23 | TN:7
Word: dalawang | Lemma: dalawa | a56_264_tags.txt | SN:14 | TN:9
Word: dalawang | Lemma: dalawa | a56_235to237_tags.txt | SN:23 | TN:10
Word: dalawang | Lemma: dalawa | lopez_clement_s11_tags.txt | SN:55 | TN:11
Word: dalawang | Lemma: dalawa | a56_259_tags.txt | SN:17 | TN:52
Word: dalawang | Lemma: dalawa | a56_193to197_tags.txt | SN:43 | TN:22
Word: dalawang | Lemma: dalawa | a56_253to258_tags.txt | SN:90 | TN:68
Word: dalawang | Lemma: dalawa | a56_253to258_tags.txt | SN:112 | TN:15
Word: dalawang | Lemma: dalawa | a56_259_tags.txt | SN:17 | TN:38
Word: dalawang | Lemma: dalawa | a56_259_tags.txt | SN:16 | TN:19
Word: dalawang | Lemma: dalawa | a56_223_tags.txt | SN:17 | TN:4
Word: dalawang | Lemma: dalawa | a56_212_tags.txt | SN:13 | TN:24
Word: dalawang | Lemma: dalawa | a56_224_tags.txt | SN:19 | TN:23
Word: dalawang | Lemma: dalawa | a56_247_tags.txt | SN:8 | TN:2
Word: dalawang | Lemma: dalawa | cua_bernice_s11_tags.txt | SN:21 | TN:15
Word: dalawang | Lemma: dalawa | a56_253to258_tags.txt | SN:131 | TN:28
Word: dalawang | Lemma: dalawa | a56_224_tags.txt | SN:15 | TN:4
Word: dalawang | Lemma: dalawa | a56_251_tags.txt | SN:17 | TN:2
Word: dalawang | Lemma: dalawa | a56_213_tags.txt | SN:10 | TN:5
Word: dalawang | Lemma: dalawang | a56_200_tags.txt | SN:31 | TN:18
