POS Tag: CCA
Word: At | Lemma: At | a56_193to197_tags.txt | SN:32 | TN:0
Word: At | Lemma: At | a56_193to197_tags.txt | SN:5 | TN:16
Word: At | Lemma: At | a56_228_tags.txt | SN:6 | TN:1
Word: At | Lemma: At | a56_228_tags.txt | SN:21 | TN:0
Word: At | Lemma: At | a56_247_tags.txt | SN:6 | TN:50
Word: At | Lemma: At | a56_247_tags.txt | SN:25 | TN:11
Word: At | Lemma: At | a56_249_tags.txt | SN:25 | TN:16
Word: At | Lemma: At | a56_252_tags.txt | SN:15 | TN:0
Word: At | Lemma: At | a56_260_tags.txt | SN:6 | TN:0
Word: León | Lemma: León | a56_263_tags.txt | SN:10 | TN:26
Word: Pati | Lemma: Pati | a56_235to237_tags.txt | SN:52 | TN:0
Word: Tagus | Lemma: Tagus | a56_264_tags.txt | SN:31 | TN:6
Word: at | Lemma: at | a56_181to186_tags.txt | SN:10 | TN:20
Word: at | Lemma: at | a56_181to186_tags.txt | SN:6 | TN:80
Word: at | Lemma: at | a56_181to186_tags.txt | SN:2 | TN:33
Word: at | Lemma: at | a56_181to186_tags.txt | SN:2 | TN:46
Word: at | Lemma: at | a56_181to186_tags.txt | SN:92 | TN:20
Word: at | Lemma: at | a56_235to237_tags.txt | SN:58 | TN:7
Word: at | Lemma: at | a56_250_tags.txt | SN:12 | TN:15
Word: at | Lemma: at | a56_226_tags.txt | SN:3 | TN:8
Word: at | Lemma: at | a56_253to258_tags.txt | SN:52 | TN:8
Word: at | Lemma: at | cua_bernice_s11_tags.txt | SN:72 | TN:5
Word: at | Lemma: at | a56_253to258_tags.txt | SN:31 | TN:26
Word: at | Lemma: at | a56_193to197_tags.txt | SN:78 | TN:25
Word: at | Lemma: at | a56_204_tags.txt | SN:8 | TN:13
Word: at | Lemma: at | a56_249_tags.txt | SN:1 | TN:26
Word: at | Lemma: at | a56_223_tags.txt | SN:5 | TN:20
Word: at | Lemma: at | a56_238to240_tags.txt | SN:33 | TN:35
Word: at | Lemma: at | a56_181to186_tags.txt | SN:99 | TN:17
Word: at | Lemma: at | a56_181to186_tags.txt | SN:144 | TN:14
Word: at | Lemma: at | a56_211_tags.txt | SN:19 | TN:25
Word: at | Lemma: at | a56_226_tags.txt | SN:24 | TN:5
Word: at | Lemma: at | lopez_clement_s11_tags.txt | SN:41 | TN:43
Word: at | Lemma: at | a56_259_tags.txt | SN:2 | TN:20
Word: at | Lemma: at | a56_247_tags.txt | SN:32 | TN:10
Word: at | Lemma: at | cua_bernice_s11_tags.txt | SN:46 | TN:12
Word: at | Lemma: at | a56_249_tags.txt | SN:2 | TN:21
Word: at | Lemma: at | cua_bernice_s11_tags.txt | SN:56 | TN:13
Word: at | Lemma: at | cua_bernice_s11_tags.txt | SN:48 | TN:27
Word: at | Lemma: at | lopez_clement_s11_tags.txt | SN:21 | TN:6
Word: at | Lemma: at | a56_248_tags.txt | SN:23 | TN:6
Word: at | Lemma: at | a56_181to186_tags.txt | SN:91 | TN:31
Word: at | Lemma: at | a56_200_tags.txt | SN:21 | TN:14
Word: at | Lemma: at | lopez_clement_s11_tags.txt | SN:36 | TN:7
Word: at | Lemma: at | a56_247_tags.txt | SN:7 | TN:13
Word: at | Lemma: at | cua_bernice_s11_tags.txt | SN:71 | TN:12
Word: at | Lemma: at | a56_193to197_tags.txt | SN:26 | TN:4
Word: at | Lemma: at | a56_253to258_tags.txt | SN:114 | TN:24
Word: at | Lemma: at | a56_260_tags.txt | SN:15 | TN:5
Word: at | Lemma: at | a56_263_tags.txt | SN:20 | TN:48
Word: at | Lemma: at | a56_251_tags.txt | SN:6 | TN:25
Word: at | Lemma: at | a56_263_tags.txt | SN:26 | TN:31
Word: at | Lemma: at | a56_238to240_tags.txt | SN:28 | TN:30
Word: at | Lemma: at | a56_247_tags.txt | SN:19 | TN:17
Word: at | Lemma: at | a56_226_tags.txt | SN:6 | TN:11
Word: at | Lemma: at | a56_227_tags.txt | SN:26 | TN:7
Word: at | Lemma: at | a56_247_tags.txt | SN:22 | TN:24
Word: at | Lemma: at | a56_248_tags.txt | SN:18 | TN:16
Word: at | Lemma: at | a56_228_tags.txt | SN:2 | TN:15
Word: at | Lemma: at | a56_235to237_tags.txt | SN:5 | TN:37
Word: at | Lemma: at | a56_263_tags.txt | SN:2 | TN:17
Word: at | Lemma: at | lopez_clement_s11_tags.txt | SN:13 | TN:20
Word: at | Lemma: at | a56_238to240_tags.txt | SN:52 | TN:5
Word: at | Lemma: at | a56_238to240_tags.txt | SN:4 | TN:23
Word: at | Lemma: at | a56_238to240_tags.txt | SN:18 | TN:12
Word: at | Lemma: at | a56_260_tags.txt | SN:19 | TN:46
Word: at | Lemma: at | a56_181to186_tags.txt | SN:55 | TN:19
Word: at | Lemma: at | a56_181to186_tags.txt | SN:84 | TN:13
Word: at | Lemma: at | a56_193to197_tags.txt | SN:17 | TN:1
Word: at | Lemma: at | a56_228_tags.txt | SN:6 | TN:44
Word: at | Lemma: at | a56_211_tags.txt | SN:19 | TN:16
Word: at | Lemma: at | a56_253to258_tags.txt | SN:148 | TN:20
Word: at | Lemma: at | a56_260_tags.txt | SN:5 | TN:42
Word: at | Lemma: at | a56_253to258_tags.txt | SN:128 | TN:34
Word: at | Lemma: at | cua_bernice_s11_tags.txt | SN:99 | TN:10
Word: at | Lemma: at | a56_248_tags.txt | SN:4 | TN:39
Word: at | Lemma: at | a56_248_tags.txt | SN:22 | TN:17
Word: at | Lemma: at | a56_193to197_tags.txt | SN:28 | TN:25
Word: at | Lemma: at | a56_238to240_tags.txt | SN:50 | TN:16
Word: at | Lemma: at | a56_198_tags.txt | SN:3 | TN:32
Word: at | Lemma: at | a56_181to186_tags.txt | SN:94 | TN:57
Word: at | Lemma: at | a56_253to258_tags.txt | SN:57 | TN:16
Word: at | Lemma: at | cua_bernice_s11_tags.txt | SN:45 | TN:7
Word: at | Lemma: at | a56_238to240_tags.txt | SN:39 | TN:7
