POS Tag: RBB
Word: Dahil_sa | Lemma: Dahil_sa | a56_253to258_tags.txt | SN:158 | TN:0
Word: Para_sa | Lemma: Para_sa | a56_264_tags.txt | SN:18 | TN:0
Word: ayon_sa | Lemma: ayon_sa | a56_235to237_tags.txt | SN:18 | TN:35
Word: pangangalakal | Lemma: kalakal | cua_bernice_s11_tags.txt | SN:103 | TN:12
Word: para_sa | Lemma: para_sa | a56_181to186_tags.txt | SN:15 | TN:13
Word: para_sa | Lemma: para_sa | a56_181to186_tags.txt | SN:3 | TN:37
Word: para_sa | Lemma: para_sa | a56_238to240_tags.txt | SN:43 | TN:10
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:63 | TN:21
Word: para_sa | Lemma: para_sa | a56_181to186_tags.txt | SN:28 | TN:35
Word: para_sa | Lemma: para_sa | a56_235to237_tags.txt | SN:20 | TN:7
Word: para_sa | Lemma: para_sa | a56_228_tags.txt | SN:4 | TN:13
Word: para_sa | Lemma: para_sa | a56_250_tags.txt | SN:11 | TN:13
Word: para_sa | Lemma: para_sa | a56_193to197_tags.txt | SN:103 | TN:22
Word: para_sa | Lemma: para_sa | a56_193to197_tags.txt | SN:109 | TN:13
Word: para_sa | Lemma: para_sa | a56_249_tags.txt | SN:19 | TN:7
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:34 | TN:27
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:53 | TN:9
Word: para_sa | Lemma: para_sa | a56_228_tags.txt | SN:8 | TN:5
Word: para_sa | Lemma: para_sa | a56_252_tags.txt | SN:8 | TN:35
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:73 | TN:75
Word: para_sa | Lemma: para_sa | a56_181to186_tags.txt | SN:70 | TN:2
Word: para_sa | Lemma: para_sa | a56_181to186_tags.txt | SN:80 | TN:8
Word: para_sa | Lemma: para_sa | a56_181to186_tags.txt | SN:105 | TN:16
Word: para_sa | Lemma: para_sa | a56_252_tags.txt | SN:3 | TN:6
Word: para_sa | Lemma: para_sa | a56_235to237_tags.txt | SN:65 | TN:16
Word: para_sa | Lemma: para_sa | a56_238to240_tags.txt | SN:10 | TN:30
Word: para_sa | Lemma: para_sa | a56_252_tags.txt | SN:20 | TN:15
Word: para_sa | Lemma: para_sa | a56_259_tags.txt | SN:18 | TN:13
Word: para_sa | Lemma: para_sa | a56_238to240_tags.txt | SN:62 | TN:37
Word: para_sa | Lemma: para_sa | a56_249_tags.txt | SN:3 | TN:6
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:86 | TN:3
Word: para_sa | Lemma: para_sa | a56_251_tags.txt | SN:17 | TN:6
