POS Tag: PRSP_CCP
Word: aking | Lemma: akin | a56_227_tags.txt | SN:19 | TN:41
Word: aking | Lemma: akin | a56_227_tags.txt | SN:20 | TN:11
Word: aking | Lemma: akin | a56_227_tags.txt | SN:20 | TN:20
Word: aking | Lemma: akin | a56_227_tags.txt | SN:24 | TN:6
Word: aking | Lemma: akin | a56_228_tags.txt | SN:13 | TN:30
Word: aming | Lemma: amin | a56_181to186_tags.txt | SN:3 | TN:5
Word: aming | Lemma: amin | a56_193to197_tags.txt | SN:58 | TN:51
Word: ating | Lemma: ating | a56_181to186_tags.txt | SN:14 | TN:5
Word: ating | Lemma: atin | a56_181to186_tags.txt | SN:8 | TN:7
Word: ating | Lemma: atin | a56_181to186_tags.txt | SN:12 | TN:2
Word: ating | Lemma: atin | a56_228_tags.txt | SN:6 | TN:8
Word: ating | Lemma: atin | a56_181to186_tags.txt | SN:14 | TN:35
Word: ating | Lemma: atin | a56_193to197_tags.txt | SN:76 | TN:27
Word: ating | Lemma: atin | a56_200_tags.txt | SN:19 | TN:9
Word: ating | Lemma: atin | a56_200_tags.txt | SN:29 | TN:4
Word: ating | Lemma: atin | a56_228_tags.txt | SN:5 | TN:25
Word: ating | Lemma: atin | a56_228_tags.txt | SN:5 | TN:40
Word: inyong | Lemma: inyo | a56_181to186_tags.txt | SN:6 | TN:45
Word: kabilang | Lemma: bilang | a56_224_tags.txt | SN:31 | TN:36
Word: kani-kanilang | Lemma: kanila | a56_235to237_tags.txt | SN:21 | TN:29
Word: kanilang | Lemma: kanila | a56_181to186_tags.txt | SN:120 | TN:19
Word: kanilang | Lemma: kanila | a56_181to186_tags.txt | SN:142 | TN:10
Word: kanilang | Lemma: kanila | cua_bernice_s11_tags.txt | SN:51 | TN:11
Word: kanilang | Lemma: kanila | cua_bernice_s11_tags.txt | SN:93 | TN:33
Word: kanilang | Lemma: kanila | cua_bernice_s11_tags.txt | SN:81 | TN:12
Word: kanilang | Lemma: kanila | a56_213_tags.txt | SN:49 | TN:10
Word: kanilang | Lemma: kanila | a56_235to237_tags.txt | SN:35 | TN:8
Word: kanilang | Lemma: kanila | a56_193to197_tags.txt | SN:7 | TN:19
Word: kanilang | Lemma: kanila | a56_214_tags.txt | SN:43 | TN:23
Word: kanilang | Lemma: kanila | a56_253to258_tags.txt | SN:131 | TN:6
Word: kanilang | Lemma: kanila | a56_213_tags.txt | SN:6 | TN:33
Word: kanilang | Lemma: kanila | cua_bernice_s11_tags.txt | SN:3 | TN:25
Word: kanilang | Lemma: kanila | a56_238to240_tags.txt | SN:69 | TN:5
Word: kanilang | Lemma: kanila | a56_253to258_tags.txt | SN:84 | TN:52
Word: kanilang | Lemma: kanila | a56_193to197_tags.txt | SN:11 | TN:13
Word: kanilang | Lemma: kanila | lopez_clement_s11_tags.txt | SN:39 | TN:16
Word: kanilang | Lemma: kanila | cua_bernice_s11_tags.txt | SN:83 | TN:14
Word: kanilang | Lemma: kanila | a56_238to240_tags.txt | SN:67 | TN:9
Word: kanilang | Lemma: kanila | cua_bernice_s11_tags.txt | SN:13 | TN:1
Word: kanilang | Lemma: kanila | a56_247_tags.txt | SN:22 | TN:10
Word: kanilang | Lemma: kanila | a56_193to197_tags.txt | SN:11 | TN:28
Word: kanilang | Lemma: kanila | a56_193to197_tags.txt | SN:59 | TN:18
Word: kanilang | Lemma: kanila | a56_247_tags.txt | SN:5 | TN:10
Word: kanilang | Lemma: kanila | lopez_clement_s11_tags.txt | SN:76 | TN:57
Word: kanilang | Lemma: kanila | a56_225_tags.txt | SN:12 | TN:1
Word: kanilang | Lemma: kanila | cua_bernice_s11_tags.txt | SN:38 | TN:5
Word: kanilang | Lemma: kanila | lopez_clement_s11_tags.txt | SN:76 | TN:20
Word: kanilang | Lemma: kanila | a56_253to258_tags.txt | SN:114 | TN:14
