POS Tag: PRO
Word: Ito | Lemma: Ito | a56_181to186_tags.txt | SN:48 | TN:0
Word: Ito | Lemma: Ito | a56_193to197_tags.txt | SN:91 | TN:0
Word: Ito | Lemma: Ito | a56_200_tags.txt | SN:10 | TN:0
Word: Ito | Lemma: Ito | cua_bernice_s11_tags.txt | SN:64 | TN:0
Word: Ito | Lemma: Ito | cua_bernice_s11_tags.txt | SN:93 | TN:0
Word: Ito | Lemma: Ito | a56_200_tags.txt | SN:12 | TN:0
Word: Ito | Lemma: Ito | a56_204_tags.txt | SN:10 | TN:0
Word: Ito | Lemma: Ito | cua_bernice_s11_tags.txt | SN:4 | TN:0
Word: Ito | Lemma: Ito | lopez_clement_s11_tags.txt | SN:41 | TN:0
Word: Ito | Lemma: Ito | a56_204_tags.txt | SN:12 | TN:0
Word: Ito | Lemma: Ito | a56_213_tags.txt | SN:4 | TN:0
Word: Ito | Lemma: Ito | a56_224_tags.txt | SN:29 | TN:0
Word: Ito | Lemma: Ito | a56_264_tags.txt | SN:3 | TN:0
Word: Ito | Lemma: Ito | a56_260_tags.txt | SN:20 | TN:0
Word: Ito | Lemma: Ito | lopez_clement_s11_tags.txt | SN:29 | TN:0
Word: dito | Lemma: dito | a56_250_tags.txt | SN:8 | TN:14
Word: dito | Lemma: dito | a56_250_tags.txt | SN:15 | TN:1
Word: dito | Lemma: dito | a56_251_tags.txt | SN:15 | TN:17
Word: ganoon | Lemma: ganoon | lopez_clement_s11_tags.txt | SN:44 | TN:21
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:2 | TN:15
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:2 | TN:22
Word: ito | Lemma: ito | a56_225_tags.txt | SN:16 | TN:2
Word: ito | Lemma: ito | a56_214_tags.txt | SN:12 | TN:14
Word: ito | Lemma: ito | lopez_clement_s11_tags.txt | SN:58 | TN:9
Word: ito | Lemma: ito | a56_253to258_tags.txt | SN:15 | TN:2
Word: ito | Lemma: ito | a56_260_tags.txt | SN:5 | TN:36
Word: ito | Lemma: ito | lopez_clement_s11_tags.txt | SN:22 | TN:1
Word: ito | Lemma: ito | a56_264_tags.txt | SN:16 | TN:17
Word: ito | Lemma: ito | lopez_clement_s11_tags.txt | SN:62 | TN:8
Word: ito | Lemma: ito | a56_226_tags.txt | SN:20 | TN:18
Word: ito | Lemma: ito | a56_253to258_tags.txt | SN:64 | TN:21
Word: ito | Lemma: ito | a56_260_tags.txt | SN:10 | TN:4
Word: ito | Lemma: ito | a56_238to240_tags.txt | SN:57 | TN:3
Word: ito | Lemma: ito | a56_253to258_tags.txt | SN:140 | TN:10
Word: ito | Lemma: ito | a56_259_tags.txt | SN:20 | TN:38
Word: ito | Lemma: ito | a56_235to237_tags.txt | SN:73 | TN:24
Word: ito | Lemma: ito | a56_252_tags.txt | SN:8 | TN:12
Word: ito | Lemma: ito | a56_253to258_tags.txt | SN:118 | TN:14
Word: ito | Lemma: ito | a56_253to258_tags.txt | SN:166 | TN:1
Word: ito | Lemma: ito | cua_bernice_s11_tags.txt | SN:20 | TN:9
Word: ito | Lemma: ito | a56_247_tags.txt | SN:25 | TN:16
Word: ito | Lemma: ito | a56_248_tags.txt | SN:14 | TN:35
Word: ito | Lemma: ito | lopez_clement_s11_tags.txt | SN:31 | TN:3
Word: ito | Lemma: ito | cua_bernice_s11_tags.txt | SN:66 | TN:12
Word: ito | Lemma: ito | a56_259_tags.txt | SN:21 | TN:19
Word: ito | Lemma: ito | lopez_clement_s11_tags.txt | SN:48 | TN:2
Word: ito | Lemma: ito | cua_bernice_s11_tags.txt | SN:65 | TN:1
Word: ito | Lemma: ito | a56_238to240_tags.txt | SN:14 | TN:3
Word: ito | Lemma: ito | a56_228_tags.txt | SN:17 | TN:7
Word: ito | Lemma: ito | a56_214_tags.txt | SN:3 | TN:45
Word: ito | Lemma: ito | a56_214_tags.txt | SN:7 | TN:1
Word: ito | Lemma: ito | a56_264_tags.txt | SN:26 | TN:15
Word: ito | Lemma: ito | a56_253to258_tags.txt | SN:134 | TN:1
Word: ito | Lemma: ito | a56_264_tags.txt | SN:21 | TN:2
Word: ito | Lemma: ito | a56_238to240_tags.txt | SN:15 | TN:5
Word: ito | Lemma: ito | a56_250_tags.txt | SN:12 | TN:4
Word: ito | Lemma: ito | cua_bernice_s11_tags.txt | SN:2 | TN:11
Word: ito | Lemma: ito | a56_200_tags.txt | SN:2 | TN:21
Word: ito | Lemma: ito | a56_204_tags.txt | SN:23 | TN:5
Word: ito | Lemma: ito | a56_238to240_tags.txt | SN:76 | TN:23
Word: ito | Lemma: ito | a56_198_tags.txt | SN:1 | TN:27
Word: ito | Lemma: ito | a56_198_tags.txt | SN:8 | TN:8
Word: ito | Lemma: ito | cua_bernice_s11_tags.txt | SN:102 | TN:1
Word: ito | Lemma: ito | a56_264_tags.txt | SN:34 | TN:2
Word: ito | Lemma: ito | a56_225_tags.txt | SN:22 | TN:25
Word: ito | Lemma: ito | a56_251_tags.txt | SN:5 | TN:9
Word: ito | Lemma: ito | a56_235to237_tags.txt | SN:6 | TN:11
Word: ito | Lemma: ito | a56_193to197_tags.txt | SN:64 | TN:25
Word: ito | Lemma: ito | a56_193to197_tags.txt | SN:110 | TN:10
Word: ito | Lemma: ito | a56_212_tags.txt | SN:3 | TN:48
Word: ito | Lemma: ito | a56_214_tags.txt | SN:43 | TN:54
Word: ito | Lemma: ito | a56_251_tags.txt | SN:16 | TN:20
Word: ito | Lemma: ito | cua_bernice_s11_tags.txt | SN:3 | TN:5
Word: ito | Lemma: ito | a56_193to197_tags.txt | SN:110 | TN:15
Word: ito | Lemma: ito | a56_264_tags.txt | SN:2 | TN:2
Word: ito | Lemma: ito | a56_212_tags.txt | SN:39 | TN:15
Word: ito | Lemma: ito | a56_248_tags.txt | SN:11 | TN:4
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:107 | TN:18
Word: ito | Lemma: ito | a56_193to197_tags.txt | SN:37 | TN:25
Word: ito | Lemma: ito | a56_193to197_tags.txt | SN:82 | TN:6
Word: ito | Lemma: ito | a56_212_tags.txt | SN:35 | TN:43
Word: ito | Lemma: ito | a56_260_tags.txt | SN:8 | TN:4
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:109 | TN:32
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:8 | TN:19
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:55 | TN:13
Word: ito | Lemma: ito | cua_bernice_s11_tags.txt | SN:107 | TN:8
Word: ito | Lemma: ito | a56_200_tags.txt | SN:8 | TN:3
Word: ito | Lemma: ito | a56_247_tags.txt | SN:12 | TN:8
Word: ito | Lemma: ito | a56_248_tags.txt | SN:4 | TN:27
Word: ito | Lemma: ito | a56_249_tags.txt | SN:21 | TN:17
Word: ito | Lemma: ito | a56_193to197_tags.txt | SN:51 | TN:48
Word: ito | Lemma: ito | a56_198_tags.txt | SN:19 | TN:8
Word: ito | Lemma: ito | a56_253to258_tags.txt | SN:16 | TN:24
Word: ito | Lemma: ito | a56_200_tags.txt | SN:39 | TN:10
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:98 | TN:3
Word: ito | Lemma: ito | a56_235to237_tags.txt | SN:45 | TN:23
Word: ito | Lemma: ito | a56_261_tags.txt | SN:17 | TN:15
Word: ito | Lemma: ito | cua_bernice_s11_tags.txt | SN:97 | TN:6
Word: ito | Lemma: ito | a56_193to197_tags.txt | SN:68 | TN:1
Word: ito | Lemma: ito | a56_238to240_tags.txt | SN:65 | TN:28
Word: ito | Lemma: ito | a56_251_tags.txt | SN:9 | TN:3
Word: ito | Lemma: ito | a56_193to197_tags.txt | SN:33 | TN:6
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:69 | TN:4
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:85 | TN:11
Word: ito | Lemma: ito | a56_253to258_tags.txt | SN:168 | TN:10
Word: ito | Lemma: ito | a56_226_tags.txt | SN:15 | TN:4
Word: ito | Lemma: ito | a56_238to240_tags.txt | SN:24 | TN:40
Word: ito | Lemma: ito | a56_213_tags.txt | SN:10 | TN:3
Word: ito | Lemma: ito | a56_263_tags.txt | SN:17 | TN:27
Word: ito | Lemma: ito | cua_bernice_s11_tags.txt | SN:40 | TN:13
Word: ito | Lemma: ito | lopez_clement_s11_tags.txt | SN:12 | TN:9
Word: ito | Lemma: ito | a56_260_tags.txt | SN:3 | TN:42
Word: ito | Lemma: ito | lopez_clement_s11_tags.txt | SN:12 | TN:18
Word: ito | Lemma: ito | a56_227_tags.txt | SN:21 | TN:54
Word: ito | Lemma: ito | a56_238to240_tags.txt | SN:23 | TN:5
Word: ito | Lemma: ito | a56_224_tags.txt | SN:32 | TN:3
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:8 | TN:62
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:9 | TN:19
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:59 | TN:3
Word: ito | Lemma: ito | a56_214_tags.txt | SN:10 | TN:1
Word: ito | Lemma: ito | a56_253to258_tags.txt | SN:12 | TN:12
Word: ito | Lemma: ito | a56_200_tags.txt | SN:6 | TN:17
Word: ito | Lemma: ito | a56_213_tags.txt | SN:8 | TN:8
Word: ito | Lemma: ito | a56_228_tags.txt | SN:15 | TN:18
Word: ito | Lemma: ito | lopez_clement_s11_tags.txt | SN:39 | TN:4
Word: ito | Lemma: ito | cua_bernice_s11_tags.txt | SN:21 | TN:25
Word: ito | Lemma: ito | a56_238to240_tags.txt | SN:25 | TN:2
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:54 | TN:1
Word: ito | Lemma: ito | a56_200_tags.txt | SN:42 | TN:4
Word: ito | Lemma: ito | a56_193to197_tags.txt | SN:25 | TN:1
Word: ito | Lemma: ito | a56_204_tags.txt | SN:12 | TN:9
Word: ito | Lemma: ito | a56_253to258_tags.txt | SN:59 | TN:1
Word: ito | Lemma: ito | a56_204_tags.txt | SN:16 | TN:7
Word: ito | Lemma: ito | a56_181to186_tags.txt | SN:74 | TN:30
Word: ito | Lemma: ito | a56_193to197_tags.txt | SN:67 | TN:23
Word: ito | Lemma: ito | a56_204_tags.txt | SN:24 | TN:1
Word: ito | Lemma: ito | a56_253to258_tags.txt | SN:164 | TN:8
Word: ito | Lemma: ito | a56_238to240_tags.txt | SN:18 | TN:18
Word: ito | Lemma: ito | a56_200_tags.txt | SN:41 | TN:1
Word: ito | Lemma: ito | a56_252_tags.txt | SN:9 | TN:41
Word: ito | Lemma: ito | lopez_clement_s11_tags.txt | SN:18 | TN:20
Word: ito | Lemma: ito | a56_253to258_tags.txt | SN:63 | TN:19
Word: ito | Lemma: ito | cua_bernice_s11_tags.txt | SN:93 | TN:29
Word: ito | Lemma: ito | a56_249_tags.txt | SN:9 | TN:25
Word: ito | Lemma: ito | a56_193to197_tags.txt | SN:58 | TN:24
Word: ito | Lemma: ito | a56_214_tags.txt | SN:43 | TN:48
