POS Tag: CCR
Word: Dagdag | Lemma: Dagdag | a56_253to258_tags.txt | SN:3 | TN:0
Word: Dahil | Lemma: Dahil | a56_181to186_tags.txt | SN:87 | TN:0
Word: Dahil | Lemma: Dahil | a56_198_tags.txt | SN:3 | TN:0
Word: Dahil | Lemma: Dahil | a56_263_tags.txt | SN:2 | TN:0
Word: Kapag | Lemma: Kapag | a56_253to258_tags.txt | SN:115 | TN:0
Word: Kapag | Lemma: Kapag | a56_253to258_tags.txt | SN:137 | TN:0
Word: Kapag | Lemma: Kapag | lopez_clement_s11_tags.txt | SN:12 | TN:0
Word: Kaya | Lemma: Kaya | a56_253to258_tags.txt | SN:114 | TN:0
Word: Kaya | Lemma: Kaya | a56_259_tags.txt | SN:10 | TN:0
Word: Kaya | Lemma: Kaya | a56_264_tags.txt | SN:19 | TN:0
Word: Kaya | Lemma: Kaya | lopez_clement_s11_tags.txt | SN:20 | TN:0
Word: Kung | Lemma: Kung | a56_214_tags.txt | SN:36 | TN:0
Word: Kung | Lemma: Kung | a56_181to186_tags.txt | SN:4 | TN:0
Word: Kung | Lemma: Kung | a56_204_tags.txt | SN:6 | TN:0
Word: Kung | Lemma: Kung | a56_227_tags.txt | SN:21 | TN:0
Word: Kung | Lemma: Kung | a56_253to258_tags.txt | SN:119 | TN:0
Word: Kung | Lemma: Kung | cua_bernice_s11_tags.txt | SN:72 | TN:0
Word: Kung | Lemma: Kung | lopez_clement_s11_tags.txt | SN:18 | TN:0
Word: Kung | Lemma: Kung | lopez_clement_s11_tags.txt | SN:34 | TN:0
Word: Kung | Lemma: Kung | lopez_clement_s11_tags.txt | SN:40 | TN:0
Word: dahil | Lemma: dahil | a56_204_tags.txt | SN:22 | TN:10
Word: dahil | Lemma: dahil | a56_181to186_tags.txt | SN:96 | TN:68
Word: dahil | Lemma: dahil | a56_211_tags.txt | SN:29 | TN:15
Word: dahil | Lemma: dahil | a56_223_tags.txt | SN:18 | TN:12
Word: dahil | Lemma: dahil | a56_235to237_tags.txt | SN:17 | TN:76
Word: dahil | Lemma: dahil | a56_238to240_tags.txt | SN:14 | TN:54
Word: dahil | Lemma: dahil | a56_238to240_tags.txt | SN:67 | TN:29
Word: dahil | Lemma: dahil | a56_253to258_tags.txt | SN:150 | TN:16
Word: dahil | Lemma: dahil | lopez_clement_s11_tags.txt | SN:22 | TN:2
Word: dahil | Lemma: dahil | cua_bernice_s11_tags.txt | SN:3 | TN:20
Word: dahil_sa | Lemma: dahil_sa | a56_251_tags.txt | SN:14 | TN:18
Word: dahil_sa | Lemma: dahil_sa | a56_252_tags.txt | SN:11 | TN:10
Word: dahil_sa | Lemma: dahil_sa | cua_bernice_s11_tags.txt | SN:15 | TN:20
Word: dahil_sa | Lemma: dahil_sa | cua_bernice_s11_tags.txt | SN:20 | TN:4
Word: dahil_sa | Lemma: dahil_sa | cua_bernice_s11_tags.txt | SN:108 | TN:16
Word: dahil_sa | Lemma: dahil_sa | lopez_clement_s11_tags.txt | SN:20 | TN:12
Word: kapag | Lemma: kapag | a56_181to186_tags.txt | SN:45 | TN:2
Word: kapag | Lemma: kapag | a56_253to258_tags.txt | SN:131 | TN:18
Word: kapag | Lemma: kapag | a56_253to258_tags.txt | SN:133 | TN:6
Word: kapag | Lemma: kapag | a56_200_tags.txt | SN:16 | TN:11
Word: kapag | Lemma: kapag | a56_253to258_tags.txt | SN:87 | TN:14
Word: kapag | Lemma: kapag | a56_253to258_tags.txt | SN:102 | TN:28
Word: kasi | Lemma: kasi | a56_253to258_tags.txt | SN:105 | TN:4
Word: kaya | Lemma: kaya | a56_181to186_tags.txt | SN:96 | TN:85
Word: kaya | Lemma: kaya | a56_181to186_tags.txt | SN:112 | TN:13
Word: kaya | Lemma: kaya | a56_181to186_tags.txt | SN:121 | TN:9
Word: kaya | Lemma: kaya | a56_252_tags.txt | SN:4 | TN:10
Word: kaya | Lemma: kaya | a56_253to258_tags.txt | SN:62 | TN:14
Word: kaya | Lemma: kaya | lopez_clement_s11_tags.txt | SN:52 | TN:36
Word: kaya | Lemma: kaya | a56_253to258_tags.txt | SN:63 | TN:25
Word: kaya | Lemma: kaya | a56_253to258_tags.txt | SN:84 | TN:9
