POS Tag: JJD
mabagal | a56_238to240_tags.txt | SN:33 | TN:37
maling | a56_181to186_tags.txt | SN:82 | TN:15
hilig | a56_238to240_tags.txt | SN:38 | TN:5
kabilang | a56_181to186_tags.txt | SN:125 | TN:14
mismo | a56_253to258_tags.txt | SN:62 | TN:16
idiyolohikal | a56_235to237_tags.txt | SN:26 | TN:4
nauukol | a56_264_tags.txt | SN:10 | TN:22
panlaro | a56_260_tags.txt | SN:8 | TN:25
marami | a56_181to186_tags.txt | SN:131 | TN:4
iba’t_ibang | a56_247_tags.txt | SN:30 | TN:4
mapanglaw | a56_227_tags.txt | SN:3 | TN:25
makapangyarihan | a56_235to237_tags.txt | SN:34 | TN:30
halata | cua_bernice_s11_tags.txt | SN:69 | TN:3
pampalapot | a56_200_tags.txt | SN:16 | TN:9
komersyal | a56_204_tags.txt | SN:8 | TN:12
tagumpay | a56_253to258_tags.txt | SN:112 | TN:49
panglunsong | a56_261_tags.txt | SN:24 | TN:13
malamang | a56_253to258_tags.txt | SN:132 | TN:16
Mainit | a56_249_tags.txt | SN:22 | TN:22
personal | a56_238to240_tags.txt | SN:20 | TN:4
malubha | a56_181to186_tags.txt | SN:23 | TN:5
direkta | a56_214_tags.txt | SN:43 | TN:53
makilala | a56_252_tags.txt | SN:8 | TN:11
taga | a56_252_tags.txt | SN:13 | TN:20
pagitan | a56_214_tags.txt | SN:28 | TN:4
tataas | a56_181to186_tags.txt | SN:32 | TN:51
marangyang | a56_251_tags.txt | SN:13 | TN:14
at | a56_264_tags.txt | SN:31 | TN:29
maayos | a56_198_tags.txt | SN:32 | TN:53
madalang | a56_238to240_tags.txt | SN:70 | TN:5
handa | lopez_clement_s11_tags.txt | SN:77 | TN:4
tanggal | a56_253to258_tags.txt | SN:112 | TN:43
agresibo | cua_bernice_s11_tags.txt | SN:41 | TN:16
pandigma | a56_212_tags.txt | SN:3 | TN:14
maaraw | a56_264_tags.txt | SN:25 | TN:8
Kakaunti | a56_227_tags.txt | SN:17 | TN:0
diin | a56_253to258_tags.txt | SN:90 | TN:43
