POS Tag: NNC_CCP
elektronikong | lopez_clement_s11_tags.txt | SN:5 | TN:21
administrasyong | a56_235to237_tags.txt | SN:45 | TN:2
pamamaraang | a56_181to186_tags.txt | SN:74 | TN:4
kapangyarihang | a56_228_tags.txt | SN:6 | TN:11
misionerong | a56_247_tags.txt | SN:21 | TN:8
akorasadong | a56_212_tags.txt | SN:27 | TN:4
kilusang | a56_181to186_tags.txt | SN:91 | TN:46
manlalarong | a56_235to237_tags.txt | SN:50 | TN:8
publikong | a56_225_tags.txt | SN:32 | TN:12
institusyong | a56_235to237_tags.txt | SN:35 | TN:10
salitang | a56_198_tags.txt | SN:30 | TN:4
labanang | a56_213_tags.txt | SN:2 | TN:3
nobelang | a56_226_tags.txt | SN:7 | TN:39
britanyong | a56_181to186_tags.txt | SN:91 | TN:2
pagkabigong | a56_224_tags.txt | SN:26 | TN:16
grupong | a56_181to186_tags.txt | SN:14 | TN:60
diyalektong | a56_235to237_tags.txt | SN:65 | TN:14
presidenteng | a56_181to186_tags.txt | SN:5 | TN:2
presisyong | a56_181to186_tags.txt | SN:59 | TN:8
bolang | a56_253to258_tags.txt | SN:66 | TN:13
sumbrerong | cua_bernice_s11_tags.txt | SN:103 | TN:15
tagpuan | a56_181to186_tags.txt | SN:140 | TN:13
aksyong | a56_235to237_tags.txt | SN:36 | TN:21
dagang | a56_181to186_tags.txt | SN:37 | TN:24
kasaysayang | a56_251_tags.txt | SN:1 | TN:3
numerikong | a56_212_tags.txt | SN:9 | TN:26
titulong | a56_252_tags.txt | SN:16 | TN:18
kapootang | a56_228_tags.txt | SN:16 | TN:11
isyung | a56_181to186_tags.txt | SN:1 | TN:19
taong | a56_181to186_tags.txt | SN:26 | TN:4
establisimentong | a56_204_tags.txt | SN:8 | TN:11
lalaking | a56_253to258_tags.txt | SN:46 | TN:6
milyang | a56_250_tags.txt | SN:22 | TN:5
komunistang | a56_227_tags.txt | SN:27 | TN:13
karapatang | a56_228_tags.txt | SN:17 | TN:19
kababaihang | a56_181to186_tags.txt | SN:73 | TN:8
panoramang | a56_250_tags.txt | SN:1 | TN:2
silid-aklatang | a56_193to197_tags.txt | SN:49 | TN:38
babaeng | a56_181to186_tags.txt | SN:66 | TN:13
tanong | a56_224_tags.txt | SN:2 | TN:21
bandang | a56_247_tags.txt | SN:1 | TN:9
sistemang | a56_249_tags.txt | SN:15 | TN:35
likhang | a56_247_tags.txt | SN:7 | TN:21
kumpanyang | a56_200_tags.txt | SN:2 | TN:15
kaayusang | a56_181to186_tags.txt | SN:39 | TN:15
wikang | a56_226_tags.txt | SN:13 | TN:14
telang | a56_198_tags.txt | SN:13 | TN:31
mamamayahagang | a56_252_tags.txt | SN:21 | TN:19
usapang | a56_264_tags.txt | SN:12 | TN:13
pamantayang | a56_181to186_tags.txt | SN:71 | TN:1
pagkakataong | a56_181to186_tags.txt | SN:52 | TN:2
usaping | a56_235to237_tags.txt | SN:26 | TN:19
kasagarang | a56_181to186_tags.txt | SN:11 | TN:10
operasyong | a56_235to237_tags.txt | SN:29 | TN:6
karagatang | a56_263_tags.txt | SN:2 | TN:13
gobyernong | a56_181to186_tags.txt | SN:92 | TN:21
paksang | a56_238to240_tags.txt | SN:40 | TN:4
garantiyang | a56_211_tags.txt | SN:37 | TN:16
sakunang | a56_238to240_tags.txt | SN:33 | TN:9
larong | a56_181to186_tags.txt | SN:8 | TN:69
opisinang | a56_261_tags.txt | SN:4 | TN:19
alituntuning | a56_253to258_tags.txt | SN:161 | TN:26
limitasyong | a56_181to186_tags.txt | SN:30 | TN:8
lupang | a56_247_tags.txt | SN:22 | TN:9
artileryang | a56_253to258_tags.txt | SN:78 | TN:35
similyang | a56_181to186_tags.txt | SN:74 | TN:32
gawang | lopez_clement_s11_tags.txt | SN:72 | TN:1
karagdagang | a56_181to186_tags.txt | SN:138 | TN:10
barkong | a56_211_tags.txt | SN:17 | TN:27
Balitang | a56_250_tags.txt | SN:14 | TN:0
depensang | a56_253to258_tags.txt | SN:27 | TN:6
panahong | a56_198_tags.txt | SN:8 | TN:7
lehislaturang | a56_235to237_tags.txt | SN:41 | TN:4
eksperimentong | a56_193to197_tags.txt | SN:100 | TN:11
minoryang | a56_235to237_tags.txt | SN:15 | TN:4
itong | cua_bernice_s11_tags.txt | SN:83 | TN:18
pagsusuring | a56_181to186_tags.txt | SN:82 | TN:11
libangang | a56_259_tags.txt | SN:13 | TN:27
kolonyang | a56_181to186_tags.txt | SN:8 | TN:61
usap-usapang | a56_225_tags.txt | SN:3 | TN:9
pagkamayabong | a56_181to186_tags.txt | SN:102 | TN:2
hinlalaking | a56_181to186_tags.txt | SN:27 | TN:72
iskandalong | a56_224_tags.txt | SN:26 | TN:12
dulang | a56_235to237_tags.txt | SN:68 | TN:10
siglong | a56_212_tags.txt | SN:37 | TN:32
kantang | a56_238to240_tags.txt | SN:14 | TN:24
lahing | a56_181to186_tags.txt | SN:10 | TN:47
milyong | a56_248_tags.txt | SN:30 | TN:33
pelikulang | a56_223_tags.txt | SN:4 | TN:7
nobelistang | a56_253to258_tags.txt | SN:48 | TN:16
digmaang | a56_198_tags.txt | SN:32 | TN:28
neogotikong | a56_250_tags.txt | SN:1 | TN:30
kaalanganang | a56_181to186_tags.txt | SN:34 | TN:3
