POS Tag: CCP
Word:  | Lemma:  | cua_bernice_s11_tags.txt | SN:23 | TN:19
Word: Kaharian | Lemma: hari | a56_263_tags.txt | SN:10 | TN:24
Word: lumiligid | Lemma: ligid | a56_264_tags.txt | SN:31 | TN:19
Word: ma | Lemma: ma | a56_200_tags.txt | SN:14 | TN:12
Word: na | Lemma: na | a56_181to186_tags.txt | SN:1 | TN:16
Word: na | Lemma: na | a56_181to186_tags.txt | SN:6 | TN:31
Word: na | Lemma: na | a56_181to186_tags.txt | SN:2 | TN:3
Word: na | Lemma: na | a56_214_tags.txt | SN:36 | TN:3
Word: na | Lemma: na | a56_193to197_tags.txt | SN:30 | TN:3
Word: na | Lemma: na | a56_253to258_tags.txt | SN:84 | TN:6
Word: na | Lemma: na | a56_259_tags.txt | SN:17 | TN:57
Word: na | Lemma: na | a56_238to240_tags.txt | SN:67 | TN:13
Word: na | Lemma: na | a56_224_tags.txt | SN:29 | TN:17
Word: na | Lemma: na | a56_226_tags.txt | SN:7 | TN:17
Word: na | Lemma: na | a56_263_tags.txt | SN:1 | TN:3
Word: na | Lemma: na | a56_200_tags.txt | SN:18 | TN:9
Word: na | Lemma: na | a56_228_tags.txt | SN:20 | TN:15
Word: na | Lemma: na | a56_261_tags.txt | SN:1 | TN:15
Word: na | Lemma: na | a56_253to258_tags.txt | SN:72 | TN:11
Word: na | Lemma: na | a56_212_tags.txt | SN:3 | TN:15
Word: na | Lemma: na | a56_225_tags.txt | SN:23 | TN:15
Word: na | Lemma: na | a56_251_tags.txt | SN:7 | TN:17
Word: na | Lemma: na | a56_253to258_tags.txt | SN:137 | TN:4
Word: na | Lemma: na | a56_253to258_tags.txt | SN:23 | TN:46
Word: na | Lemma: na | a56_200_tags.txt | SN:20 | TN:12
Word: na | Lemma: na | a56_193to197_tags.txt | SN:42 | TN:4
Word: na | Lemma: na | a56_260_tags.txt | SN:5 | TN:40
Word: na | Lemma: na | a56_193to197_tags.txt | SN:69 | TN:11
Word: na | Lemma: na | a56_204_tags.txt | SN:8 | TN:16
Word: na | Lemma: na | a56_204_tags.txt | SN:16 | TN:6
Word: na | Lemma: na | a56_227_tags.txt | SN:27 | TN:19
Word: na | Lemma: na | a56_252_tags.txt | SN:13 | TN:19
Word: na | Lemma: na | a56_235to237_tags.txt | SN:67 | TN:15
Word: na | Lemma: na | a56_247_tags.txt | SN:15 | TN:26
Word: na | Lemma: na | a56_193to197_tags.txt | SN:51 | TN:3
Word: na | Lemma: na | a56_193to197_tags.txt | SN:33 | TN:5
Word: na | Lemma: na | a56_181to186_tags.txt | SN:57 | TN:4
Word: na | Lemma: na | a56_238to240_tags.txt | SN:24 | TN:28
Word: na | Lemma: na | a56_213_tags.txt | SN:26 | TN:13
Word: na | Lemma: na | a56_235to237_tags.txt | SN:7 | TN:3
Word: na | Lemma: na | a56_181to186_tags.txt | SN:94 | TN:41
Word: na | Lemma: na | a56_264_tags.txt | SN:13 | TN:4
Word: na | Lemma: na | a56_198_tags.txt | SN:37 | TN:6
Word: na | Lemma: na | a56_253to258_tags.txt | SN:146 | TN:2
Word: na | Lemma: na | lopez_clement_s11_tags.txt | SN:18 | TN:11
Word: na | Lemma: na | a56_253to258_tags.txt | SN:140 | TN:9
Word: na | Lemma: na | a56_253to258_tags.txt | SN:73 | TN:56
Word: na | Lemma: na | a56_181to186_tags.txt | SN:129 | TN:20
Word: na | Lemma: na | a56_225_tags.txt | SN:9 | TN:6
Word: na | Lemma: na | a56_253to258_tags.txt | SN:106 | TN:10
Word: na | Lemma: na | a56_235to237_tags.txt | SN:27 | TN:30
Word: na | Lemma: na | cua_bernice_s11_tags.txt | SN:52 | TN:7
Word: na | Lemma: na | a56_235to237_tags.txt | SN:22 | TN:7
Word: na | Lemma: na | a56_193to197_tags.txt | SN:53 | TN:32
Word: na | Lemma: na | a56_200_tags.txt | SN:19 | TN:5
Word: na | Lemma: na | a56_251_tags.txt | SN:14 | TN:4
Word: na | Lemma: na | a56_253to258_tags.txt | SN:100 | TN:34
Word: na | Lemma: na | a56_181to186_tags.txt | SN:145 | TN:24
Word: na | Lemma: na | a56_181to186_tags.txt | SN:129 | TN:8
