POS Tag: VBTR
naglalaman | a56_193to197_tags.txt | SN:96 | TN:14
ginagamitan | a56_200_tags.txt | SN:30 | TN:8
nagmamay-ari | lopez_clement_s11_tags.txt | SN:44 | TN:4
namumunong | a56_213_tags.txt | SN:2 | TN:12
nararapat | a56_181to186_tags.txt | SN:6 | TN:41
nagpapakita | a56_181to186_tags.txt | SN:104 | TN:6
tinatawag | a56_181to186_tags.txt | SN:27 | TN:24
nauukol | a56_193to197_tags.txt | SN:36 | TN:23
Nilalayon | a56_214_tags.txt | SN:18 | TN:0
nagtatampok | a56_226_tags.txt | SN:7 | TN:40
Inihahambing | a56_181to186_tags.txt | SN:120 | TN:0
pagpapakasal | a56_224_tags.txt | SN:18 | TN:14
Nagbibigay | a56_238to240_tags.txt | SN:60 | TN:0
isaalang-alang | a56_181to186_tags.txt | SN:28 | TN:34
nagsasalita | a56_204_tags.txt | SN:5 | TN:10
nagmumungkahing | a56_181to186_tags.txt | SN:77 | TN:17
humahampas | a56_193to197_tags.txt | SN:65 | TN:74
Tinatantyang | a56_181to186_tags.txt | SN:60 | TN:0
Kinakailangan | a56_181to186_tags.txt | SN:131 | TN:0
dumadaloy | a56_193to197_tags.txt | SN:106 | TN:32
dumodoble | lopez_clement_s11_tags.txt | SN:55 | TN:16
nagbabayad | a56_211_tags.txt | SN:17 | TN:34
nangangailangan | lopez_clement_s11_tags.txt | SN:57 | TN:18
naglilimbag | lopez_clement_s11_tags.txt | SN:61 | TN:6
kinukunsidera | a56_181to186_tags.txt | SN:91 | TN:13
nakakasira | a56_181to186_tags.txt | SN:93 | TN:16
Umaasa | a56_193to197_tags.txt | SN:9 | TN:0
nauunawaan | a56_193to197_tags.txt | SN:78 | TN:11
tumatanda | a56_181to186_tags.txt | SN:101 | TN:18
Nagmumungkahi | a56_181to186_tags.txt | SN:67 | TN:0
nababago | a56_193to197_tags.txt | SN:90 | TN:24
nagmumula | a56_181to186_tags.txt | SN:22 | TN:24
namumuno | a56_235to237_tags.txt | SN:62 | TN:23
ipinapalagay | a56_193to197_tags.txt | SN:81 | TN:11
namamahala | a56_181to186_tags.txt | SN:129 | TN:21
Isaalang-alang | a56_213_tags.txt | SN:31 | TN:0
nagagamit | a56_193to197_tags.txt | SN:50 | TN:3
nag-uudyak | a56_181to186_tags.txt | SN:87 | TN:2
kinokopya | a56_181to186_tags.txt | SN:111 | TN:7
nagsisilbing | a56_204_tags.txt | SN:12 | TN:2
naghahabol | a56_212_tags.txt | SN:11 | TN:6
nagtatrabaho | a56_224_tags.txt | SN:31 | TN:26
sumusunod | a56_181to186_tags.txt | SN:6 | TN:48
nagsusulong | a56_181to186_tags.txt | SN:109 | TN:24
nag-iisang | lopez_clement_s11_tags.txt | SN:72 | TN:25
naglalakbay | a56_181to186_tags.txt | SN:8 | TN:58
inaangkin | a56_181to186_tags.txt | SN:10 | TN:31
natutunaw | a56_200_tags.txt | SN:12 | TN:8
nagbibigay | a56_181to186_tags.txt | SN:15 | TN:29
nagdadala | a56_181to186_tags.txt | SN:87 | TN:14
naniniwala | a56_181to186_tags.txt | SN:93 | TN:14
nakikitang | a56_193to197_tags.txt | SN:97 | TN:36
nagpapahiwatig | a56_181to186_tags.txt | SN:39 | TN:10
nadadaanan | a56_204_tags.txt | SN:12 | TN:11
naglalathala | lopez_clement_s11_tags.txt | SN:40 | TN:26
nararamdaman | a56_238to240_tags.txt | SN:16 | TN:15
nagsasabi | a56_214_tags.txt | SN:40 | TN:13
Nakikita | a56_181to186_tags.txt | SN:26 | TN:0
kinikilalang | a56_181to186_tags.txt | SN:31 | TN:85
kinakailangan | a56_200_tags.txt | SN:42 | TN:7
pagiging | a56_181to186_tags.txt | SN:33 | TN:8
gumagana | a56_200_tags.txt | SN:14 | TN:21
Kinikilala | a56_181to186_tags.txt | SN:19 | TN:0
namamahagi | lopez_clement_s11_tags.txt | SN:45 | TN:17
maituturing | a56_181to186_tags.txt | SN:6 | TN:73
ililimbag | a56_211_tags.txt | SN:27 | TN:2
nagtatalik | a56_225_tags.txt | SN:28 | TN:42
gumamit | a56_198_tags.txt | SN:40 | TN:11
nawawala | lopez_clement_s11_tags.txt | SN:62 | TN:19
Hinahadlangan | a56_200_tags.txt | SN:15 | TN:0
nadadagdagan | a56_181to186_tags.txt | SN:66 | TN:1
kinikilala | a56_181to186_tags.txt | SN:34 | TN:4
nagbebenta | lopez_clement_s11_tags.txt | SN:41 | TN:34
iniuugnay | a56_181to186_tags.txt | SN:20 | TN:2
isinasangguni | a56_181to186_tags.txt | SN:53 | TN:1
Nawawala | a56_193to197_tags.txt | SN:48 | TN:0
nangangahulugan | a56_200_tags.txt | SN:13 | TN:8
pinoproseso | a56_198_tags.txt | SN:9 | TN:18
nakikipag-areglo | a56_223_tags.txt | SN:16 | TN:29
nag-uutos | a56_211_tags.txt | SN:35 | TN:15
nagkakatunggali | lopez_clement_s11_tags.txt | SN:59 | TN:5
nanghihinang | a56_212_tags.txt | SN:37 | TN:50
nagsasaad | a56_193to197_tags.txt | SN:42 | TN:5
itinuring | a56_193to197_tags.txt | SN:84 | TN:5
