POS Tag: DTC
Word: ( | Lemma: ( | a56_264_tags.txt | SN:31 | TN:10
Word: Ang | Lemma: Ang | a56_181to186_tags.txt | SN:93 | TN:0
Word: Ang | Lemma: Ang | a56_181to186_tags.txt | SN:6 | TN:0
Word: Ang | Lemma: Ang | a56_181to186_tags.txt | SN:28 | TN:0
Word: Ang | Lemma: Ang | a56_250_tags.txt | SN:3 | TN:0
Word: Ang | Lemma: Ang | cua_bernice_s11_tags.txt | SN:35 | TN:0
Word: Ang | Lemma: Ang | a56_253to258_tags.txt | SN:14 | TN:0
Word: Ang | Lemma: Ang | a56_259_tags.txt | SN:13 | TN:0
Word: Ang | Lemma: Ang | lopez_clement_s11_tags.txt | SN:36 | TN:0
Word: Ang | Lemma: Ang | a56_248_tags.txt | SN:3 | TN:0
Word: Ang | Lemma: Ang | a56_259_tags.txt | SN:1 | TN:0
Word: Ang | Lemma: Ang | cua_bernice_s11_tags.txt | SN:19 | TN:0
Word: Ang | Lemma: Ang | cua_bernice_s11_tags.txt | SN:88 | TN:0
Word: Ang | Lemma: Ang | a56_253to258_tags.txt | SN:123 | TN:0
Word: Ang | Lemma: Ang | a56_264_tags.txt | SN:20 | TN:0
Word: Ang | Lemma: Ang | a56_223_tags.txt | SN:8 | TN:0
Word: Ang | Lemma: Ang | a56_247_tags.txt | SN:34 | TN:0
Word: Ang | Lemma: Ang | a56_253to258_tags.txt | SN:59 | TN:9
Word: Ang | Lemma: Ang | a56_264_tags.txt | SN:10 | TN:0
Word: Ang | Lemma: Ang | a56_193to197_tags.txt | SN:1 | TN:0
Word: Ang | Lemma: Ang | a56_211_tags.txt | SN:5 | TN:0
Word: Ang | Lemma: Ang | a56_253to258_tags.txt | SN:75 | TN:0
Word: Ang | Lemma: Ang | cua_bernice_s11_tags.txt | SN:67 | TN:0
Word: Ang | Lemma: Ang | lopez_clement_s11_tags.txt | SN:11 | TN:0
Word: Ang | Lemma: Ang | a56_261_tags.txt | SN:18 | TN:0
Word: Ang | Lemma: Ang | cua_bernice_s11_tags.txt | SN:104 | TN:0
Word: Ang | Lemma: Ang | a56_250_tags.txt | SN:18 | TN:0
Word: Ang | Lemma: Ang | a56_261_tags.txt | SN:23 | TN:0
Word: Ang | Lemma: Ang | a56_213_tags.txt | SN:47 | TN:0
Word: Ang | Lemma: Ang | a56_249_tags.txt | SN:13 | TN:0
Word: Ang | Lemma: Ang | a56_181to186_tags.txt | SN:94 | TN:0
Word: Ang | Lemma: Ang | a56_259_tags.txt | SN:28 | TN:0
Word: Ang | Lemma: Ang | a56_261_tags.txt | SN:11 | TN:0
Word: Ang | Lemma: Ang | a56_200_tags.txt | SN:14 | TN:0
Word: Ang | Lemma: Ang | a56_204_tags.txt | SN:4 | TN:0
Word: Ang | Lemma: Ang | a56_263_tags.txt | SN:5 | TN:0
Word: Ang | Lemma: Ang | a56_211_tags.txt | SN:33 | TN:0
Word: Ang | Lemma: Ang | a56_253to258_tags.txt | SN:78 | TN:0
Word: Ang | Lemma: Ang | a56_249_tags.txt | SN:16 | TN:0
Word: Ang | Lemma: Ang | a56_250_tags.txt | SN:22 | TN:0
Word: Ang | Lemma: Ang | a56_263_tags.txt | SN:19 | TN:0
Word: Ang | Lemma: Ang | a56_249_tags.txt | SN:2 | TN:12
Word: Ang | Lemma: Ang | a56_204_tags.txt | SN:1 | TN:0
Word: Ang | Lemma: Ang | lopez_clement_s11_tags.txt | SN:26 | TN:0
Word: Ang | Lemma: Ang | a56_200_tags.txt | SN:40 | TN:0
Word: Ang | Lemma: Ang | a56_193to197_tags.txt | SN:65 | TN:0
Word: Ang | Lemma: Ang | a56_200_tags.txt | SN:3 | TN:0
Word: Ang | Lemma: Ang | a56_253to258_tags.txt | SN:136 | TN:0
Word: Ang | Lemma: Ang | a56_204_tags.txt | SN:14 | TN:0
Word: Ang | Lemma: Ang | a56_253to258_tags.txt | SN:69 | TN:0
Word: Ang | Lemma: Ang | a56_253to258_tags.txt | SN:165 | TN:0
Word: Ang | Lemma: Ang | cua_bernice_s11_tags.txt | SN:16 | TN:0
Word: Ang | Lemma: Ang | cua_bernice_s11_tags.txt | SN:48 | TN:0
Word: Ang | Lemma: Ang | a56_264_tags.txt | SN:13 | TN:0
Word: Ang | Lemma: Ang | a56_253to258_tags.txt | SN:39 | TN:0
Word: Ang | Lemma: Ang | cua_bernice_s11_tags.txt | SN:28 | TN:0
Word: Ang | Lemma: Ang | a56_264_tags.txt | SN:9 | TN:0
Word: Ang | Lemma: Ang | a56_253to258_tags.txt | SN:118 | TN:0
Word: Ang | Lemma: Ang | a56_261_tags.txt | SN:24 | TN:0
