POS Tag: RBI
Word: ba | Lemma: ba | a56_214_tags.txt | SN:36 | TN:10
Word: ba | Lemma: ba | a56_228_tags.txt | SN:14 | TN:29
Word: daw | Lemma: daw | a56_223_tags.txt | SN:9 | TN:23
Word: din | Lemma: din | a56_235to237_tags.txt | SN:9 | TN:3
Word: din | Lemma: din | a56_181to186_tags.txt | SN:33 | TN:26
Word: din | Lemma: din | a56_181to186_tags.txt | SN:45 | TN:21
Word: din | Lemma: din | a56_263_tags.txt | SN:3 | TN:10
Word: din | Lemma: din | cua_bernice_s11_tags.txt | SN:93 | TN:1
Word: din | Lemma: din | a56_253to258_tags.txt | SN:13 | TN:9
Word: din | Lemma: din | lopez_clement_s11_tags.txt | SN:73 | TN:1
Word: din | Lemma: din | a56_238to240_tags.txt | SN:30 | TN:17
Word: din | Lemma: din | a56_238to240_tags.txt | SN:67 | TN:36
Word: din | Lemma: din | a56_247_tags.txt | SN:14 | TN:8
Word: din | Lemma: din | a56_253to258_tags.txt | SN:51 | TN:1
Word: din | Lemma: din | a56_235to237_tags.txt | SN:14 | TN:11
Word: din | Lemma: din | a56_235to237_tags.txt | SN:32 | TN:11
Word: din | Lemma: din | a56_238to240_tags.txt | SN:67 | TN:31
Word: din | Lemma: din | a56_253to258_tags.txt | SN:150 | TN:26
Word: din | Lemma: din | a56_259_tags.txt | SN:21 | TN:20
Word: din | Lemma: din | a56_181to186_tags.txt | SN:67 | TN:10
Word: din | Lemma: din | a56_253to258_tags.txt | SN:15 | TN:1
Word: din | Lemma: din | a56_264_tags.txt | SN:20 | TN:17
Word: din | Lemma: din | a56_238to240_tags.txt | SN:51 | TN:1
Word: din | Lemma: din | a56_247_tags.txt | SN:29 | TN:1
Word: din | Lemma: din | a56_264_tags.txt | SN:12 | TN:4
Word: din | Lemma: din | a56_238to240_tags.txt | SN:76 | TN:1
Word: din | Lemma: din | a56_193to197_tags.txt | SN:76 | TN:1
Word: din | Lemma: din | a56_193to197_tags.txt | SN:105 | TN:1
Word: din | Lemma: din | a56_235to237_tags.txt | SN:17 | TN:78
Word: din | Lemma: din | a56_259_tags.txt | SN:21 | TN:2
Word: din | Lemma: din | cua_bernice_s11_tags.txt | SN:92 | TN:1
Word: din | Lemma: din | a56_253to258_tags.txt | SN:128 | TN:6
Word: din | Lemma: din | a56_263_tags.txt | SN:8 | TN:13
Word: din | Lemma: din | a56_238to240_tags.txt | SN:1 | TN:1
Word: din | Lemma: din | a56_198_tags.txt | SN:33 | TN:1
Word: din | Lemma: din | a56_228_tags.txt | SN:14 | TN:2
Word: din | Lemma: din | a56_238to240_tags.txt | SN:3 | TN:31
Word: din | Lemma: din | cua_bernice_s11_tags.txt | SN:39 | TN:7
Word: din | Lemma: din | a56_204_tags.txt | SN:7 | TN:1
Word: din | Lemma: din | a56_211_tags.txt | SN:35 | TN:5
Word: din | Lemma: din | a56_247_tags.txt | SN:24 | TN:1
Word: din | Lemma: din | a56_235to237_tags.txt | SN:69 | TN:1
Word: din | Lemma: din | a56_213_tags.txt | SN:17 | TN:65
Word: din | Lemma: din | a56_235to237_tags.txt | SN:55 | TN:1
Word: din | Lemma: din | a56_247_tags.txt | SN:13 | TN:5
Word: din | Lemma: din | lopez_clement_s11_tags.txt | SN:30 | TN:8
Word: din | Lemma: din | a56_235to237_tags.txt | SN:11 | TN:1
Word: din | Lemma: din | a56_259_tags.txt | SN:22 | TN:1
Word: din | Lemma: din | a56_238to240_tags.txt | SN:39 | TN:1
Word: din | Lemma: din | a56_247_tags.txt | SN:16 | TN:1
Word: lamang | Lemma: lamang | a56_193to197_tags.txt | SN:88 | TN:32
Word: lamang | Lemma: lamang | a56_181to186_tags.txt | SN:37 | TN:1
Word: lamang | Lemma: lamang | a56_235to237_tags.txt | SN:70 | TN:11
Word: lamang | Lemma: lamang | a56_238to240_tags.txt | SN:68 | TN:16
Word: lamang | Lemma: lamang | a56_227_tags.txt | SN:26 | TN:9
Word: lamang | Lemma: lamang | a56_260_tags.txt | SN:2 | TN:16
Word: lamang | Lemma: lamang | a56_235to237_tags.txt | SN:10 | TN:1
Word: lamang | Lemma: lamang | a56_260_tags.txt | SN:3 | TN:50
Word: lamang | Lemma: lamang | a56_228_tags.txt | SN:5 | TN:38
Word: lamang | Lemma: lamang | a56_181to186_tags.txt | SN:55 | TN:12
Word: lamang | Lemma: lamang | a56_225_tags.txt | SN:4 | TN:3
Word: lamang | Lemma: lamang | a56_235to237_tags.txt | SN:60 | TN:15
Word: lamang | Lemma: lamang | a56_181to186_tags.txt | SN:119 | TN:21
Word: lamang | Lemma: lamang | a56_193to197_tags.txt | SN:5 | TN:10
Word: lamang | Lemma: lamang | a56_193to197_tags.txt | SN:44 | TN:3
Word: lamang | Lemma: lamang | a56_193to197_tags.txt | SN:50 | TN:4
Word: lamang | Lemma: lamang | a56_227_tags.txt | SN:21 | TN:31
Word: lamang | Lemma: lamang | a56_213_tags.txt | SN:6 | TN:30
Word: lamang | Lemma: lamang | a56_228_tags.txt | SN:5 | TN:32
Word: lamang | Lemma: lamang | a56_238to240_tags.txt | SN:56 | TN:22
Word: lamang | Lemma: lamang | a56_224_tags.txt | SN:27 | TN:22
Word: lamang | Lemma: lamang | a56_226_tags.txt | SN:27 | TN:16
Word: lamang | Lemma: lamang | a56_223_tags.txt | SN:23 | TN:29
Word: lamang | Lemma: lamang | lopez_clement_s11_tags.txt | SN:75 | TN:2
Word: lamang | Lemma: lamang | a56_227_tags.txt | SN:16 | TN:17
Word: lang | Lemma: lang | a56_211_tags.txt | SN:13 | TN:6
Word: lang | Lemma: lang | a56_181to186_tags.txt | SN:96 | TN:22
Word: lang | Lemma: lang | a56_200_tags.txt | SN:42 | TN:1
