POS Tag: VB_TS
Word: Naabot | Lemma: abot | a56_248_tags.txt | SN:28 | TN:0
Word: Naagaw | Lemma: agaw | a56_235to237_tags.txt | SN:30 | TN:0
Word: Nag-iwan | Lemma: iwan | a56_235to237_tags.txt | SN:26 | TN:0
Word: Naganap | Lemma: ganap | a56_235to237_tags.txt | SN:68 | TN:0
Word: Nagbato | Lemma: Nagbato | a56_253to258_tags.txt | SN:106 | TN:0
Word: Naghintay | Lemma: hintay | a56_248_tags.txt | SN:8 | TN:0
Word: Nagkaroon | Lemma: Mayroon | a56_247_tags.txt | SN:5 | TN:0
Word: Nagkaroon | Lemma: Mayroon | a56_251_tags.txt | SN:27 | TN:0
Word: Nagpabago | Lemma: bago | a56_235to237_tags.txt | SN:3 | TN:0
Word: Nagsimula | Lemma: mula | a56_247_tags.txt | SN:25 | TN:0
Word: Nagsimula | Lemma: mula | a56_249_tags.txt | SN:4 | TN:14
Word: Nahanap | Lemma: hanap | a56_253to258_tags.txt | SN:45 | TN:0
Word: Nailathala | Lemma: lathala | a56_253to258_tags.txt | SN:47 | TN:0
Word: Nakontrol | Lemma: kontrol | a56_235to237_tags.txt | SN:41 | TN:0
Word: Nanalo | Lemma: panalo | a56_252_tags.txt | SN:12 | TN:0
Word: Nanalo | Lemma: Nanalo | a56_252_tags.txt | SN:14 | TN:0
Word: Nanalo | Lemma: Nanalo | a56_252_tags.txt | SN:16 | TN:0
Word: Nanalo | Lemma: Nanalo | a56_252_tags.txt | SN:17 | TN:0
Word: Nanalo | Lemma: Nanalo | a56_252_tags.txt | SN:17 | TN:19
Word: Nandito | Lemma: dito | a56_247_tags.txt | SN:32 | TN:0
Word: Napapayag | Lemma: payag | a56_235to237_tags.txt | SN:27 | TN:0
Word: Natagpuan | Lemma: Tagpo | cua_bernice_s11_tags.txt | SN:25 | TN:0
Word: Nawalan | Lemma: wala | a56_235to237_tags.txt | SN:39 | TN:0
Word: binuo | Lemma: buo | a56_235to237_tags.txt | SN:57 | TN:16
Word: gayahin | Lemma: gaya | a56_238to240_tags.txt | SN:30 | TN:32
Word: ginanap | Lemma: ganap | a56_235to237_tags.txt | SN:52 | TN:24
Word: i-anunsyo | Lemma: anunsyo | a56_238to240_tags.txt | SN:4 | TN:3
Word: ilabas | Lemma: labas | a56_238to240_tags.txt | SN:4 | TN:1
Word: inihati-hati | Lemma: hati | a56_264_tags.txt | SN:21 | TN:31
Word: inutos | Lemma: utos | a56_259_tags.txt | SN:19 | TN:3
Word: ipinatungkol | Lemma: tungkol | a56_235to237_tags.txt | SN:57 | TN:23
Word: maunawa | Lemma: unawa | a56_253to258_tags.txt | SN:84 | TN:14
Word: na-publish | Lemma: publish | a56_253to258_tags.txt | SN:48 | TN:9
Word: na-tag | Lemma: tag | a56_253to258_tags.txt | SN:65 | TN:13
Word: nabigo | Lemma: bigo | a56_252_tags.txt | SN:19 | TN:27
Word: nabigyan | Lemma: bigay | a56_238to240_tags.txt | SN:21 | TN:21
Word: nabuo | Lemma: buo | a56_263_tags.txt | SN:22 | TN:24
Word: nag-endorso | Lemma: endorso | a56_238to240_tags.txt | SN:43 | TN:29
Word: nagawa | Lemma: nagawa | a56_252_tags.txt | SN:19 | TN:10
Word: nagbalik | Lemma: balik | a56_253to258_tags.txt | SN:159 | TN:7
Word: nagbibigay | Lemma: bigay | a56_264_tags.txt | SN:10 | TN:28
Word: nagbigay | Lemma: bigay | a56_228_tags.txt | SN:4 | TN:5
Word: nagbukas | Lemma: bukas | a56_249_tags.txt | SN:2 | TN:5
Word: naging | Lemma: naging | a56_263_tags.txt | SN:23 | TN:20
Word: nagkaroon | Lemma: mayroon | a56_248_tags.txt | SN:1 | TN:10
Word: nagkaroon | Lemma: nagkaroon | a56_252_tags.txt | SN:7 | TN:18
