POS Tag: PMP
Word: , | Lemma: , | a56_181to186_tags.txt | SN:27 | TN:54
Word: . | Lemma: . | a56_181to186_tags.txt | SN:4 | TN:10
Word: . | Lemma: . | a56_181to186_tags.txt | SN:1 | TN:25
Word: . | Lemma: . | a56_247_tags.txt | SN:25 | TN:24
Word: . | Lemma: . | a56_247_tags.txt | SN:4 | TN:9
Word: . | Lemma: . | a56_263_tags.txt | SN:25 | TN:42
Word: . | Lemma: . | a56_204_tags.txt | SN:19 | TN:24
Word: . | Lemma: . | a56_235to237_tags.txt | SN:51 | TN:7
Word: . | Lemma: . | a56_249_tags.txt | SN:11 | TN:10
Word: . | Lemma: . | a56_212_tags.txt | SN:23 | TN:21
Word: . | Lemma: . | a56_181to186_tags.txt | SN:65 | TN:37
Word: . | Lemma: . | a56_181to186_tags.txt | SN:128 | TN:12
Word: . | Lemma: . | a56_259_tags.txt | SN:2 | TN:29
Word: . | Lemma: . | a56_247_tags.txt | SN:16 | TN:8
Word: . | Lemma: . | a56_228_tags.txt | SN:2 | TN:18
Word: . | Lemma: . | a56_238to240_tags.txt | SN:11 | TN:32
Word: . | Lemma: . | lopez_clement_s11_tags.txt | SN:14 | TN:23
Word: . | Lemma: . | a56_193to197_tags.txt | SN:15 | TN:30
Word: . | Lemma: . | a56_249_tags.txt | SN:16 | TN:27
Word: . | Lemma: . | cua_bernice_s11_tags.txt | SN:94 | TN:22
Word: . | Lemma: . | a56_260_tags.txt | SN:17 | TN:34
Word: . | Lemma: . | a56_226_tags.txt | SN:25 | TN:22
Word: . | Lemma: . | a56_235to237_tags.txt | SN:71 | TN:13
Word: . | Lemma: . | cua_bernice_s11_tags.txt | SN:98 | TN:18
Word: . | Lemma: . | a56_251_tags.txt | SN:13 | TN:16
Word: . | Lemma: . | a56_260_tags.txt | SN:2 | TN:63
Word: . | Lemma: . | a56_200_tags.txt | SN:5 | TN:23
Word: . | Lemma: . | a56_181to186_tags.txt | SN:134 | TN:9
Word: . | Lemma: . | a56_248_tags.txt | SN:18 | TN:22
Word: . | Lemma: . | lopez_clement_s11_tags.txt | SN:12 | TN:40
Word: . | Lemma: . | a56_193to197_tags.txt | SN:73 | TN:21
Word: . | Lemma: . | a56_214_tags.txt | SN:34 | TN:13
Word: . | Lemma: . | a56_261_tags.txt | SN:23 | TN:16
Word: . | Lemma: . | a56_253to258_tags.txt | SN:52 | TN:19
Word: . | Lemma: . | a56_247_tags.txt | SN:27 | TN:10
Word: . | Lemma: . | a56_253to258_tags.txt | SN:2 | TN:21
Word: . | Lemma: . | a56_253to258_tags.txt | SN:133 | TN:23
Word: . | Lemma: . | a56_211_tags.txt | SN:9 | TN:17
Word: . | Lemma: . | a56_253to258_tags.txt | SN:148 | TN:24
Word: . | Lemma: . | a56_235to237_tags.txt | SN:53 | TN:8
Word: . | Lemma: . | a56_223_tags.txt | SN:2 | TN:34
Word: . | Lemma: . | a56_225_tags.txt | SN:13 | TN:27
Word: . | Lemma: . | lopez_clement_s11_tags.txt | SN:5 | TN:59
Word: . | Lemma: . | a56_238to240_tags.txt | SN:30 | TN:34
Word: . | Lemma: . | a56_250_tags.txt | SN:10 | TN:30
Word: . | Lemma: . | a56_253to258_tags.txt | SN:77 | TN:28
Word: . | Lemma: . | a56_253to258_tags.txt | SN:47 | TN:35
Word: . | Lemma: . | a56_227_tags.txt | SN:16 | TN:21
Word: . | Lemma: . | a56_235to237_tags.txt | SN:3 | TN:9
Word: . | Lemma: . | a56_249_tags.txt | SN:22 | TN:9
Word: . | Lemma: . | a56_253to258_tags.txt | SN:13 | TN:28
