POS Tag: NNC
Word: ( | Lemma: ( | a56_181to186_tags.txt | SN:22 | TN:14
Word: ??manunulat | Lemma: ??sulat | lopez_clement_s11_tags.txt | SN:9 | TN:20
Word: Bahay | Lemma: Bahay | a56_250_tags.txt | SN:9 | TN:0
Word: Bahay | Lemma: Bahay | a56_253to258_tags.txt | SN:5 | TN:0
Word: Bahay | Lemma: Bahay | a56_253to258_tags.txt | SN:10 | TN:0
Word: Coeducational | Lemma: Coeducational | a56_238to240_tags.txt | SN:59 | TN:0
Word: Dahilan | Lemma: Dahil | a56_181to186_tags.txt | SN:54 | TN:0
Word: George | Lemma: George | a56_226_tags.txt | SN:4 | TN:18
Word: Habang-buhay | Lemma: Habang-buhay | cua_bernice_s11_tags.txt | SN:84 | TN:12
Word: Halimbawa | Lemma: Halimbawa | a56_260_tags.txt | SN:5 | TN:0
Word: Halimbawa | Lemma: Halimbawa | a56_260_tags.txt | SN:14 | TN:0
Word: Halimbawa | Lemma: Halimbawa | lopez_clement_s11_tags.txt | SN:25 | TN:0
Word: Kasapi | Lemma: Kasapi | a56_235to237_tags.txt | SN:12 | TN:0
Word: Kaunlaran | Lemma: unlad | a56_228_tags.txt | SN:20 | TN:31
Word: Lupain | Lemma: Lupa | a56_249_tags.txt | SN:8 | TN:15
Word: Michigan | Lemma: Michigan | a56_249_tags.txt | SN:21 | TN:14
Word: Mimyembro | Lemma: Myembro | a56_253to258_tags.txt | SN:9 | TN:0
Word: Pagpasok | Lemma: pasok | a56_193to197_tags.txt | SN:20 | TN:0
Word: Pagsasama | Lemma: sama | a56_263_tags.txt | SN:6 | TN:0
Word: Pitcher | Lemma: Pitcher | a56_253to258_tags.txt | SN:73 | TN:0
Word: Sanhi | Lemma: Sanhi | a56_181to186_tags.txt | SN:40 | TN:0
Word: Sanhi | Lemma: Sanhi | a56_181to186_tags.txt | SN:43 | TN:0
Word: Tagasalo | Lemma: salo | a56_253to258_tags.txt | SN:51 | TN:0
Word: Throat | Lemma: Throat | a56_238to240_tags.txt | SN:5 | TN:0
Word: Trisomy | Lemma: Trisomy | a56_181to186_tags.txt | SN:62 | TN:0
Word: abenida | Lemma: abenida | a56_248_tags.txt | SN:2 | TN:7
Word: abenida | Lemma: abenida | a56_249_tags.txt | SN:15 | TN:17
Word: abilidad | Lemma: abilidad | a56_238to240_tags.txt | SN:3 | TN:9
Word: abilidad | Lemma: abilidad | cua_bernice_s11_tags.txt | SN:23 | TN:4
Word: abyasyon | Lemma: abyasyon | a56_248_tags.txt | SN:28 | TN:6
Word: abyasyon | Lemma: abyasyon | a56_248_tags.txt | SN:30 | TN:8
Word: access | Lemma: access | lopez_clement_s11_tags.txt | SN:20 | TN:5
Word: acquisitions | Lemma: acquisitions | lopez_clement_s11_tags.txt | SN:12 | TN:20
Word: administrasyon | Lemma: administrasyon | a56_238to240_tags.txt | SN:69 | TN:1
Word: administrasyon | Lemma: administrasyon | a56_238to240_tags.txt | SN:69 | TN:29
Word: advance | Lemma: advance | lopez_clement_s11_tags.txt | SN:27 | TN:4
Word: advance | Lemma: advance | lopez_clement_s11_tags.txt | SN:27 | TN:12
Word: advances | Lemma: advances | a56_253to258_tags.txt | SN:84 | TN:3
Word: advertising | Lemma: advertising | a56_238to240_tags.txt | SN:40 | TN:13
Word: advertising | Lemma: advertising | lopez_clement_s11_tags.txt | SN:36 | TN:6
Word: agalya | Lemma: agalya | a56_181to186_tags.txt | SN:31 | TN:73
Word: agent | Lemma: agent | a56_224_tags.txt | SN:24 | TN:21
Word: agent | Lemma: agent | a56_226_tags.txt | SN:7 | TN:45
Word: aglomerasyon | Lemma: aglomerasyon | a56_261_tags.txt | SN:24 | TN:14
