POS Tag: CCB
Word: Gayon | Lemma: Gayon | a56_235to237_tags.txt | SN:2 | TN:0
Word: Gayon | Lemma: Gayon | a56_235to237_tags.txt | SN:18 | TN:0
Word: Gayon | Lemma: Gayon | a56_238to240_tags.txt | SN:23 | TN:0
Word: Gayon | Lemma: Gayon | a56_238to240_tags.txt | SN:30 | TN:0
Word: Gayon | Lemma: Gayon | a56_238to240_tags.txt | SN:33 | TN:0
Word: Gayon | Lemma: Gayon | a56_238to240_tags.txt | SN:61 | TN:0
Word: Gayon | Lemma: Gayon | a56_264_tags.txt | SN:8 | TN:0
Word: Gayun | Lemma: Gayun | a56_181to186_tags.txt | SN:96 | TN:0
Word: Gayun | Lemma: Gayun | a56_181to186_tags.txt | SN:100 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_181to186_tags.txt | SN:45 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_181to186_tags.txt | SN:126 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_181to186_tags.txt | SN:142 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_193to197_tags.txt | SN:41 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_193to197_tags.txt | SN:54 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_193to197_tags.txt | SN:111 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_253to258_tags.txt | SN:82 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_225_tags.txt | SN:21 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_225_tags.txt | SN:27 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_213_tags.txt | SN:43 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_224_tags.txt | SN:30 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_224_tags.txt | SN:32 | TN:0
Word: Gayunman | Lemma: Gayunman | a56_264_tags.txt | SN:34 | TN:0
Word: Gayunpman | Lemma: Gayunpman | a56_193to197_tags.txt | SN:89 | TN:0
Word: Ingram | Lemma: Ingram | lopez_clement_s11_tags.txt | SN:50 | TN:11
Word: Kasama | Lemma: sama | a56_251_tags.txt | SN:19 | TN:0
Word: Kasama | Lemma: sama | a56_235to237_tags.txt | SN:54 | TN:0
Word: Kasama | Lemma: sama | a56_193to197_tags.txt | SN:47 | TN:0
Word: Kasama | Lemma: sama | a56_235to237_tags.txt | SN:57 | TN:0
Word: Kasama | Lemma: sama | a56_235to237_tags.txt | SN:66 | TN:0
Word: Kasama | Lemma: sama | a56_250_tags.txt | SN:2 | TN:0
Word: Kasama | Lemma: sama | cua_bernice_s11_tags.txt | SN:111 | TN:0
Word: Kasama | Lemma: sama | a56_250_tags.txt | SN:15 | TN:0
Word: Kasama | Lemma: sama | a56_251_tags.txt | SN:12 | TN:0
Word: Kasama | Lemma: sama | a56_251_tags.txt | SN:13 | TN:0
Word: Kasama | Lemma: sama | cua_bernice_s11_tags.txt | SN:110 | TN:0
Word: Kasama | Lemma: sama | lopez_clement_s11_tags.txt | SN:5 | TN:0
Word: Kasama | Lemma: sama | a56_253to258_tags.txt | SN:11 | TN:0
Word: New | Lemma: New | cua_bernice_s11_tags.txt | SN:103 | TN:3
Word: Upang | Lemma: Upang | a56_211_tags.txt | SN:21 | TN:0
