POS Tag: PRI_CCP
Word: Ilang | Lemma: Ilan | a56_181to186_tags.txt | SN:1 | TN:0
Word: Ilang | Lemma: Ilan | a56_235to237_tags.txt | SN:31 | TN:0
Word: Isang | Lemma: Isa | a56_181to186_tags.txt | SN:16 | TN:0
Word: Isang | Lemma: Isa | a56_181to186_tags.txt | SN:34 | TN:0
Word: Isang | Lemma: Isa | lopez_clement_s11_tags.txt | SN:64 | TN:0
Word: Isang | Lemma: Isa | a56_252_tags.txt | SN:21 | TN:0
Word: Isang | Lemma: Isa | a56_181to186_tags.txt | SN:84 | TN:0
Word: Isang | Lemma: Isa | a56_198_tags.txt | SN:29 | TN:0
Word: Isang | Lemma: Isa | a56_211_tags.txt | SN:19 | TN:0
Word: Isang | Lemma: Isa | a56_238to240_tags.txt | SN:11 | TN:0
Word: Isang | Lemma: Isa | a56_253to258_tags.txt | SN:23 | TN:0
Word: Isang | Lemma: Isa | a56_214_tags.txt | SN:14 | TN:0
Word: Isang | Lemma: Isa | a56_235to237_tags.txt | SN:21 | TN:0
Word: Isang | Lemma: Isa | a56_251_tags.txt | SN:16 | TN:0
Word: Isang | Lemma: Isa | a56_253to258_tags.txt | SN:28 | TN:0
Word: Isang | Lemma: Isa | lopez_clement_s11_tags.txt | SN:65 | TN:0
Word: Isang | Lemma: Isa | a56_225_tags.txt | SN:32 | TN:0
Word: Isang | Lemma: Isa | a56_226_tags.txt | SN:28 | TN:0
Word: Isang | Lemma: Isa | a56_253to258_tags.txt | SN:45 | TN:21
Word: Isang | Lemma: Isa | lopez_clement_s11_tags.txt | SN:50 | TN:15
Word: Isang | Lemma: Isa | a56_248_tags.txt | SN:4 | TN:24
Word: Isang | Lemma: Isang | a56_227_tags.txt | SN:7 | TN:0
Word: Isang | Lemma: Isa | a56_235to237_tags.txt | SN:65 | TN:0
Word: Maaring | Lemma: Maari | a56_253to258_tags.txt | SN:26 | TN:0
Word: Madaming | Lemma: Dami | a56_253to258_tags.txt | SN:21 | TN:0
Word: Maraming | Lemma: dami | a56_224_tags.txt | SN:6 | TN:0
Word: Maraming | Lemma: Dami | a56_181to186_tags.txt | SN:71 | TN:0
Word: Maraming | Lemma: dami | a56_225_tags.txt | SN:8 | TN:0
Word: Maraming | Lemma: Dami | a56_247_tags.txt | SN:15 | TN:0
Word: Maraming | Lemma: Dami | a56_251_tags.txt | SN:1 | TN:0
Word: Maraming | Lemma: Dami | a56_253to258_tags.txt | SN:161 | TN:0
Word: Maraming | Lemma: dami | a56_259_tags.txt | SN:9 | TN:0
Word: Maraming | Lemma: dami | a56_261_tags.txt | SN:19 | TN:0
Word: Maraming | Lemma: Marami | cua_bernice_s11_tags.txt | SN:40 | TN:0
Word: alinmang | Lemma: alinman | a56_181to186_tags.txt | SN:14 | TN:25
Word: alinmang | Lemma: alinman | a56_259_tags.txt | SN:5 | TN:22
Word: ang | Lemma: ang | a56_252_tags.txt | SN:9 | TN:31
Word: anumang | Lemma: anuman | a56_181to186_tags.txt | SN:131 | TN:9
Word: anumang | Lemma: anuman | a56_181to186_tags.txt | SN:142 | TN:32
Word: anumang | Lemma: anuman | a56_193to197_tags.txt | SN:29 | TN:31
Word: anumang | Lemma: anuman | a56_224_tags.txt | SN:10 | TN:14
Word: anumang | Lemma: anumang | a56_253to258_tags.txt | SN:154 | TN:8
Word: anumang | Lemma: anuman | a56_225_tags.txt | SN:26 | TN:44
Word: anumang | Lemma: anuman | a56_235to237_tags.txt | SN:21 | TN:45
Word: anumang | Lemma: anuman | a56_253to258_tags.txt | SN:26 | TN:3
Word: anumang | Lemma: anuman | a56_253to258_tags.txt | SN:155 | TN:2
Word: anumang | Lemma: anuman | a56_253to258_tags.txt | SN:152 | TN:4
Word: anumang | Lemma: anuman | a56_253to258_tags.txt | SN:72 | TN:28
Word: anumang | Lemma: anuman | a56_253to258_tags.txt | SN:86 | TN:6
Word: anumang | Lemma: anuman | a56_253to258_tags.txt | SN:152 | TN:8
Word: ay | Lemma: ay | a56_264_tags.txt | SN:31 | TN:15
Word: buong | Lemma: buo | a56_198_tags.txt | SN:27 | TN:18
Word: buong | Lemma: buo | a56_193to197_tags.txt | SN:4 | TN:12
Word: buong | Lemma: buo | a56_198_tags.txt | SN:24 | TN:4
Word: buong | Lemma: buo | a56_204_tags.txt | SN:5 | TN:7
Word: buong | Lemma: buo | a56_204_tags.txt | SN:10 | TN:5
Word: buong | Lemma: buo | a56_247_tags.txt | SN:20 | TN:12
Word: buong | Lemma: buo | lopez_clement_s11_tags.txt | SN:68 | TN:2
Word: buong | Lemma: buo | a56_238to240_tags.txt | SN:17 | TN:3
Word: buong | Lemma: buo | a56_252_tags.txt | SN:14 | TN:8
Word: buong | Lemma: buong | lopez_clement_s11_tags.txt | SN:20 | TN:9
Word: buong | Lemma: buo | a56_204_tags.txt | SN:14 | TN:18
Word: buong | Lemma: buo | a56_212_tags.txt | SN:17 | TN:7
Word: buong | Lemma: buo | a56_253to258_tags.txt | SN:58 | TN:9
Word: buong | Lemma: buo | a56_259_tags.txt | SN:22 | TN:17
Word: buong | Lemma: buo | a56_214_tags.txt | SN:20 | TN:7
Word: buong | Lemma: buo | a56_238to240_tags.txt | SN:45 | TN:10
Word: buong | Lemma: buo | a56_248_tags.txt | SN:28 | TN:8
Word: buong | Lemma: buo | a56_248_tags.txt | SN:25 | TN:11
Word: buong | Lemma: buo | a56_235to237_tags.txt | SN:46 | TN:2
