POS Tag: RBF
Word: Hindi | Lemma: Hindi | a56_198_tags.txt | SN:11 | TN:0
Word: Hindi | Lemma: Hindi | a56_181to186_tags.txt | SN:9 | TN:0
Word: Hindi | Lemma: Hindi | a56_181to186_tags.txt | SN:55 | TN:0
Word: Hindi | Lemma: Hindi | lopez_clement_s11_tags.txt | SN:58 | TN:0
Word: Hindi | Lemma: Hindi | cua_bernice_s11_tags.txt | SN:50 | TN:0
Word: Hindi | Lemma: Hindi | a56_181to186_tags.txt | SN:121 | TN:0
Word: Hindi | Lemma: Hindi | a56_253to258_tags.txt | SN:87 | TN:0
Word: Hindi | Lemma: Hindi | a56_181to186_tags.txt | SN:130 | TN:0
Word: Hindi | Lemma: Hindi | a56_193to197_tags.txt | SN:66 | TN:0
Word: Hindi | Lemma: Hindi | a56_253to258_tags.txt | SN:71 | TN:0
Word: Hindi | Lemma: Hindi | a56_193to197_tags.txt | SN:83 | TN:0
Word: Hindi | Lemma: Hindi | cua_bernice_s11_tags.txt | SN:75 | TN:0
Word: Hindi | Lemma: Hindi | a56_214_tags.txt | SN:7 | TN:0
Word: Hindi | Lemma: Hindi | a56_225_tags.txt | SN:22 | TN:23
Word: Hindi | Lemma: Hindi | a56_224_tags.txt | SN:13 | TN:5
Word: Hindi | Lemma: Hindi | a56_214_tags.txt | SN:10 | TN:0
Word: Hindi | Lemma: Hindi | a56_253to258_tags.txt | SN:167 | TN:0
Word: Hindi | Lemma: Hindi | a56_238to240_tags.txt | SN:36 | TN:0
Word: Hindi | Lemma: Hindi | a56_253to258_tags.txt | SN:166 | TN:0
Word: Hindi | Lemma: Hindi | a56_225_tags.txt | SN:31 | TN:0
Word: Wala | Lemma: Wala | cua_bernice_s11_tags.txt | SN:74 | TN:0
Word: Walang | Lemma: Wala | a56_181to186_tags.txt | SN:69 | TN:0
Word: Walang | Lemma: Wala | a56_200_tags.txt | SN:31 | TN:0
Word: ayaw | Lemma: ayaw | a56_225_tags.txt | SN:14 | TN:37
Word: ayaw | Lemma: ayaw | a56_248_tags.txt | SN:27 | TN:3
Word: di | Lemma: di | a56_200_tags.txt | SN:2 | TN:20
Word: di-pagsangayon | Lemma: di-sang-ayon | a56_225_tags.txt | SN:17 | TN:8
Word: hindi | Lemma: hindi | a56_181to186_tags.txt | SN:30 | TN:1
Word: hindi | Lemma: hindi | a56_181to186_tags.txt | SN:6 | TN:78
Word: hindi | Lemma: hindi | a56_181to186_tags.txt | SN:118 | TN:11
Word: hindi | Lemma: hindi | a56_235to237_tags.txt | SN:5 | TN:13
Word: hindi | Lemma: hindi | a56_253to258_tags.txt | SN:123 | TN:22
Word: hindi | Lemma: hindi | a56_225_tags.txt | SN:26 | TN:54
Word: hindi | Lemma: hindi | a56_235to237_tags.txt | SN:5 | TN:28
Word: hindi | Lemma: hindi | a56_238to240_tags.txt | SN:19 | TN:17
Word: hindi | Lemma: hindi | a56_193to197_tags.txt | SN:55 | TN:20
Word: hindi | Lemma: hindi | cua_bernice_s11_tags.txt | SN:27 | TN:6
Word: hindi | Lemma: hindi | lopez_clement_s11_tags.txt | SN:11 | TN:3
Word: hindi | Lemma: hindi | a56_200_tags.txt | SN:21 | TN:10
Word: hindi | Lemma: hindi | a56_181to186_tags.txt | SN:130 | TN:13
Word: hindi | Lemma: hindi | a56_235to237_tags.txt | SN:25 | TN:27
Word: hindi | Lemma: hindi | a56_235to237_tags.txt | SN:34 | TN:15
Word: hindi | Lemma: hindi | a56_247_tags.txt | SN:9 | TN:4
Word: hindi | Lemma: hindi | a56_193to197_tags.txt | SN:44 | TN:22
Word: hindi | Lemma: hindi | a56_181to186_tags.txt | SN:6 | TN:81
Word: hindi | Lemma: hindi | a56_193to197_tags.txt | SN:81 | TN:13
Word: hindi | Lemma: hindi | a56_223_tags.txt | SN:5 | TN:37
Word: hindi | Lemma: hindi | a56_252_tags.txt | SN:19 | TN:20
Word: hindi | Lemma: hindi | a56_224_tags.txt | SN:32 | TN:2
Word: hindi | Lemma: hindi | a56_228_tags.txt | SN:5 | TN:10
Word: hindi | Lemma: hindi | a56_238to240_tags.txt | SN:6 | TN:3
Word: hindi | Lemma: hindi | lopez_clement_s11_tags.txt | SN:43 | TN:20
Word: hindi | Lemma: hindi | a56_235to237_tags.txt | SN:72 | TN:10
Word: hindi | Lemma: hindi | a56_260_tags.txt | SN:3 | TN:31
Word: hindi | Lemma: hindi | a56_238to240_tags.txt | SN:24 | TN:24
Word: hindi | Lemma: hindi | a56_238to240_tags.txt | SN:67 | TN:21
Word: hindi | Lemma: hindi | a56_193to197_tags.txt | SN:42 | TN:21
Word: hindi | Lemma: hindi | a56_238to240_tags.txt | SN:70 | TN:18
Word: hindi | Lemma: hindi | a56_193to197_tags.txt | SN:50 | TN:12
Word: hindi | Lemma: hindi | a56_181to186_tags.txt | SN:96 | TN:84
Word: hindi | Lemma: hindi | a56_181to186_tags.txt | SN:115 | TN:9
Word: hindi | Lemma: hindi | a56_214_tags.txt | SN:43 | TN:55
Word: hindi | Lemma: hindi | a56_259_tags.txt | SN:12 | TN:8
Word: hindi | Lemma: hindi | a56_253to258_tags.txt | SN:64 | TN:27
Word: hindi | Lemma: hindi | a56_200_tags.txt | SN:39 | TN:12
Word: hindi | Lemma: hindi | a56_238to240_tags.txt | SN:9 | TN:9
Word: hindi | Lemma: hindi | a56_250_tags.txt | SN:20 | TN:7
Word: hindi | Lemma: hindi | a56_224_tags.txt | SN:27 | TN:25
Word: hindi | Lemma: hindi | a56_264_tags.txt | SN:11 | TN:9
Word: hindi | Lemma: hindi | lopez_clement_s11_tags.txt | SN:76 | TN:13
Word: hindi | Lemma: hindi | a56_181to186_tags.txt | SN:8 | TN:12
Word: hindi | Lemma: hindi | a56_181to186_tags.txt | SN:8 | TN:74
Word: hindi | Lemma: hindi | a56_259_tags.txt | SN:20 | TN:36
Word: hindi | Lemma: hindi | cua_bernice_s11_tags.txt | SN:66 | TN:1
Word: hindi | Lemma: hindi | a56_253to258_tags.txt | SN:124 | TN:22
