POS Tag: VBTS
Word: Binalangkas | Lemma: Balangkas | a56_193to197_tags.txt | SN:104 | TN:0
Word: Binanggit | Lemma: Banggit | a56_193to197_tags.txt | SN:55 | TN:0
Word: Ginamit | Lemma: Gamit | a56_198_tags.txt | SN:33 | TN:0
Word: Hinirang | Lemma: Hirang | a56_181to186_tags.txt | SN:39 | TN:0
Word: Iminungkahi | Lemma: Mungkahi | a56_193to197_tags.txt | SN:92 | TN:0
Word: Inatasan | Lemma: atas | a56_200_tags.txt | SN:2 | TN:0
Word: Inilarawan | Lemma: larawan | a56_193to197_tags.txt | SN:67 | TN:0
Word: Inimbestigahan | Lemma: Imbestiga | a56_200_tags.txt | SN:4 | TN:0
Word: Inokupahan | Lemma: Okupa | a56_181to186_tags.txt | SN:5 | TN:0
Word: Ipinahayag | Lemma: hayag | a56_193to197_tags.txt | SN:87 | TN:0
Word: Ipinakilala | Lemma: Kilala | a56_181to186_tags.txt | SN:136 | TN:0
Word: Ipinakita | Lemma: kita | a56_181to186_tags.txt | SN:68 | TN:0
Word: Ipinakita | Lemma: kita | a56_193to197_tags.txt | SN:105 | TN:0
Word: Ipinalagay | Lemma: lagay | a56_193to197_tags.txt | SN:23 | TN:0
Word: Ipinangalan | Lemma: ngalan | a56_198_tags.txt | SN:26 | TN:0
Word: Itinakda | Lemma: Takda | a56_193to197_tags.txt | SN:46 | TN:0
Word: Itinayo | Lemma: Tayo | a56_193to197_tags.txt | SN:58 | TN:0
Word: Itinukoy | Lemma: Tukoy | a56_181to186_tags.txt | SN:18 | TN:0
Word: Nabawasan | Lemma: bawas | a56_181to186_tags.txt | SN:102 | TN:0
Word: Nabuhay | Lemma: buhay | a56_225_tags.txt | SN:30 | TN:0
Word: Nag-aral | Lemma: Nag-aral | a56_193to197_tags.txt | SN:78 | TN:0
Word: Nag-aral | Lemma: aral | a56_227_tags.txt | SN:11 | TN:0
Word: Naganap | Lemma: ganap | a56_253to258_tags.txt | SN:18 | TN:0
Word: Nagawa | Lemma: gawa | a56_253to258_tags.txt | SN:12 | TN:0
Word: Nagbago | Lemma: bago | a56_181to186_tags.txt | SN:101 | TN:0
Word: Nagbibigay | Lemma: bigay | a56_253to258_tags.txt | SN:41 | TN:0
Word: Nagbunga | Lemma: bunga | a56_181to186_tags.txt | SN:132 | TN:0
Word: Nagdulot | Lemma: dulot | a56_198_tags.txt | SN:37 | TN:0
Word: Nagdulot | Lemma: dulot | a56_204_tags.txt | SN:24 | TN:0
Word: Nagguhit | Lemma: guhit | a56_238to240_tags.txt | SN:20 | TN:0
Word: Naghanapbuhay | Lemma: hanapbuhay | a56_228_tags.txt | SN:8 | TN:0
Word: Naghanda | Lemma: handa | a56_211_tags.txt | SN:37 | TN:0
Word: Naging | Lemma: Maging | a56_200_tags.txt | SN:8 | TN:0
Word: Naging | Lemma: Maging | a56_223_tags.txt | SN:2 | TN:0
Word: Naging | Lemma: Maging | a56_223_tags.txt | SN:3 | TN:0
Word: Naging | Lemma: maging | a56_224_tags.txt | SN:26 | TN:0
Word: Naging | Lemma: Maging | a56_227_tags.txt | SN:6 | TN:0
Word: Naging | Lemma: Naging | a56_238to240_tags.txt | SN:37 | TN:0
Word: Naging | Lemma: maging | a56_247_tags.txt | SN:10 | TN:0
